p cnf 1000 1200
134 -260 850 0 
-227 -373 -911 0 
769 -645 -732 0 
509 -367 -205 0 
244 960 -903 0 
988 815 -344 0 
-39 -868 701 0 
862 915 -784 0 
-155 -164 706 0 
-390 -603 -73 0 
-201 835 -838 0 
293 -890 -500 0 
-43 -239 -715 0 
-391 172 -707 0 
-358 127 861 0 
479 79 344 0 
634 877 468 0 
9 250 -732 0 
782 -233 -239 0 
197 -975 -646 0 
-747 -478 -516 0 
667 -965 -103 0 
72 864 519 0 
215 916 127 0 
-837 475 -409 0 
128 782 146 0 
82 745 230 0 
428 -480 43 0 
855 971 -184 0 
662 86 83 0 
888 228 -976 0 
238 240 -534 0 
145 -914 -930 0 
247 27 -581 0 
655 -840 27 0 
-693 957 -333 0 
753 -475 335 0 
176 538 -942 0 
89 -317 -846 0 
909 586 552 0 
161 279 237 0 
665 35 926 0 
565 560 -590 0 
-697 393 -732 0 
543 -954 144 0 
-811 -629 -414 0 
-654 1000 417 0 
135 948 -128 0 
538 -279 979 0 
-702 -3 -831 0 
-789 -81 -403 0 
-576 430 -410 0 
-311 -787 -170 0 
-985 -819 -214 0 
954 42 631 0 
-506 21 224 0 
373 -429 -851 0 
-352 -775 957 0 
313 -66 -456 0 
-377 -567 141 0 
-104 962 -928 0 
328 136 474 0 
-44 -368 -330 0 
600 -662 -688 0 
-345 390 -141 0 
-112 117 -554 0 
-685 22 -188 0 
334 436 -73 0 
441 755 478 0 
346 -535 969 0 
-741 -936 -71 0 
-481 113 749 0 
653 933 -149 0 
-152 66 840 0 
158 -498 -950 0 
841 940 594 0 
916 -716 -541 0 
-552 -635 -975 0 
-383 -223 508 0 
288 995 90 0 
-762 828 -666 0 
601 -67 580 0 
427 934 -770 0 
-77 850 648 0 
264 -750 601 0 
-170 -511 758 0 
928 503 147 0 
-64 -598 490 0 
-508 663 997 0 
518 -197 1000 0 
-221 -449 -294 0 
-162 687 -419 0 
-544 -773 -83 0 
-349 605 342 0 
-719 223 -350 0 
619 -950 -715 0 
-641 -810 -872 0 
764 -862 903 0 
214 -77 454 0 
839 924 55 0 
752 -1000 392 0 
207 -103 -576 0 
-15 -276 -834 0 
276 -182 -318 0 
538 -526 439 0 
578 -887 561 0 
-530 378 -465 0 
209 -431 369 0 
973 -582 -508 0 
738 433 924 0 
-820 240 -289 0 
-761 486 263 0 
867 359 552 0 
-920 157 327 0 
-85 -887 910 0 
-758 53 -803 0 
540 480 808 0 
344 980 -639 0 
-94 -333 -616 0 
93 -956 461 0 
-197 606 93 0 
67 740 -414 0 
-692 105 185 0 
309 6 -527 0 
-214 800 294 0 
-497 520 117 0 
-630 -184 -132 0 
-602 565 -434 0 
398 54 -358 0 
64 -216 6 0 
-11 828 209 0 
658 160 -690 0 
618 555 657 0 
-250 115 -52 0 
-648 -133 863 0 
-503 -647 -541 0 
862 -823 -796 0 
549 598 927 0 
-225 -253 305 0 
40 -645 -774 0 
210 -782 598 0 
-624 -483 460 0 
381 165 -946 0 
17 486 -229 0 
-145 329 -112 0 
618 -857 -598 0 
563 -604 -439 0 
371 -282 -80 0 
-983 620 157 0 
17 695 -626 0 
618 42 804 0 
521 915 -850 0 
-942 594 -894 0 
-196 -27 362 0 
883 -305 933 0 
-207 -927 -548 0 
-295 946 941 0 
-136 354 257 0 
294 -205 822 0 
-205 -430 -380 0 
155 7 -34 0 
969 -430 -359 0 
287 -660 552 0 
-682 -699 394 0 
731 126 977 0 
-925 -301 -782 0 
-74 439 463 0 
-224 368 -833 0 
-227 -352 -640 0 
458 -598 -658 0 
-891 28 -481 0 
-441 668 -370 0 
-777 -813 39 0 
461 48 -231 0 
-649 933 575 0 
673 -784 355 0 
556 963 606 0 
-929 93 652 0 
-598 -451 -369 0 
-41 -579 870 0 
-583 -328 88 0 
344 -563 -758 0 
804 822 -243 0 
-636 -554 837 0 
739 -370 212 0 
-343 832 76 0 
409 96 680 0 
210 -143 -431 0 
-854 -504 -607 0 
593 -273 -288 0 
-471 -624 235 0 
-739 -512 218 0 
-958 616 636 0 
-475 -432 -364 0 
464 503 676 0 
-378 -668 9 0 
135 -195 779 0 
-121 540 -73 0 
410 -272 639 0 
397 -962 459 0 
173 -494 -247 0 
-744 542 -523 0 
540 905 -186 0 
-815 -163 241 0 
-627 -80 173 0 
337 287 549 0 
961 878 44 0 
58 -915 86 0 
-29 -83 -964 0 
-436 -655 505 0 
-438 -766 -380 0 
508 -703 -646 0 
375 -290 -438 0 
549 -747 -736 0 
-473 -417 514 0 
996 133 -803 0 
-840 304 -780 0 
553 363 389 0 
701 -266 71 0 
-593 77 -333 0 
-78 811 709 0 
-393 -281 -474 0 
-414 864 -865 0 
-465 -986 -523 0 
826 -638 -305 0 
-634 84 -260 0 
-625 330 145 0 
-164 650 -586 0 
-501 -563 -545 0 
-319 685 780 0 
-560 -938 661 0 
-484 -283 -718 0 
401 510 906 0 
-363 -742 427 0 
448 -690 491 0 
515 -800 -538 0 
415 -214 -821 0 
-413 -59 121 0 
954 -773 -588 0 
-161 -854 -330 0 
627 958 -542 0 
851 59 -993 0 
-142 -165 585 0 
-586 -559 -577 0 
265 -660 -296 0 
-515 -970 295 0 
495 -40 -638 0 
-232 -428 -475 0 
906 -396 -278 0 
202 -123 -340 0 
369 502 754 0 
-470 24 -90 0 
