p cnf 1000 2200
372 297 -787 0 
408 -230 331 0 
-89 -352 860 0 
-29 961 753 0 
835 -796 -16 0 
-990 -135 498 0 
954 -829 -180 0 
939 -792 1 0 
-752 -522 -437 0 
-116 -68 -637 0 
269 -366 211 0 
61 -342 -264 0 
469 -914 571 0 
368 353 -559 0 
704 809 -666 0 
-29 -538 372 0 
150 464 622 0 
500 284 -147 0 
609 736 599 0 
-621 -143 194 0 
718 -877 27 0 
-991 -632 -55 0 
60 -664 516 0 
-349 -404 662 0 
-525 488 -768 0 
-548 -36 -774 0 
541 165 -773 0 
-460 798 -585 0 
-148 688 243 0 
-379 703 -733 0 
597 -717 635 0 
217 -771 684 0 
-854 218 995 0 
124 -714 546 0 
-708 735 -678 0 
-715 -481 -720 0 
-967 -205 708 0 
737 823 -276 0 
147 702 318 0 
345 -651 687 0 
196 -863 -681 0 
107 266 628 0 
508 -153 -938 0 
311 233 385 0 
737 -884 -833 0 
-197 475 103 0 
-628 -730 -588 0 
-370 -257 662 0 
860 565 -222 0 
-116 829 -895 0 
-408 -53 -466 0 
927 -5 -29 0 
743 -317 -696 0 
253 -179 140 0 
88 102 -973 0 
319 993 965 0 
79 -891 -67 0 
-300 180 574 0 
847 794 390 0 
758 -341 150 0 
-924 826 535 0 
509 480 -769 0 
72 -55 -385 0 
250 -499 -53 0 
-408 -650 -571 0 
-737 744 110 0 
-645 771 601 0 
-191 -642 315 0 
495 -591 -540 0 
443 901 -831 0 
236 325 527 0 
486 932 1000 0 
991 730 172 0 
-160 362 221 0 
-636 -408 -113 0 
364 -418 310 0 
-643 978 -12 0 
-638 -912 -50 0 
-652 315 466 0 
-698 -537 -439 0 
-686 304 -872 0 
-431 196 7 0 
-376 688 736 0 
-423 763 761 0 
921 -115 -837 0 
-205 19 544 0 
-773 265 -885 0 
-486 975 -174 0 
895 -131 -394 0 
-321 -610 -147 0 
-168 -919 -224 0 
721 664 546 0 
199 -281 705 0 
244 -617 -188 0 
391 879 -440 0 
-667 389 -827 0 
204 -131 101 0 
946 -139 202 0 
957 -683 -67 0 
-875 -398 -512 0 
-217 821 25 0 
-945 -340 403 0 
-733 -849 59 0 
966 -45 -476 0 
-432 -391 31 0 
790 -742 -838 0 
-453 -160 -306 0 
166 -290 -698 0 
783 -162 -186 0 
-142 -86 -678 0 
238 88 -711 0 
763 -750 -792 0 
-355 -226 -363 0 
140 593 364 0 
-750 -407 -159 0 
-188 -578 -447 0 
-983 -596 332 0 
-28 -25 221 0 
163 -523 845 0 
532 635 -190 0 
-735 -881 369 0 
-286 84 -109 0 
304 -802 -824 0 
551 199 661 0 
163 497 567 0 
-881 -888 -239 0 
-302 -82 -378 0 
-914 509 -715 0 
-693 -916 808 0 
-752 -272 -279 0 
-929 -539 982 0 
327 -132 -271 0 
-926 -61 947 0 
342 -849 487 0 
159 -763 458 0 
-945 345 -182 0 
-631 373 -899 0 
435 966 59 0 
15 544 -673 0 
-896 -467 357 0 
991 -463 901 0 
853 87 -761 0 
-118 358 96 0 
-869 190 -326 0 
968 617 -404 0 
-723 311 -502 0 
-239 529 -252 0 
209 66 975 0 
-600 -112 40 0 
-145 -31 -139 0 
441 990 894 0 
459 296 401 0 
-546 -518 -446 0 
-9 191 -282 0 
1000 96 -998 0 
642 439 575 0 
-798 519 252 0 
-840 -360 -425 0 
-58 -180 -36 0 
-273 173 -657 0 
-282 -498 -444 0 
523 311 -570 0 
-405 684 478 0 
867 546 320 0 
706 -959 202 0 
-351 266 502 0 
-748 680 310 0 
-992 -25 960 0 
-531 785 -651 0 
671 44 591 0 
-922 570 289 0 
-793 -441 395 0 
-414 850 -574 0 
508 980 -138 0 
-303 -510 830 0 
409 229 -744 0 
37 -371 624 0 
-772 583 -716 0 
-116 912 510 0 
243 -395 -56 0 
-200 -518 -929 0 
-985 -455 115 0 
-846 -977 355 0 
307 -955 -461 0 
784 262 -51 0 
-653 -307 -758 0 
-14 297 599 0 
326 -596 469 0 
-754 -831 448 0 
205 -942 -463 0 
-235 233 -921 0 
-965 486 100 0 
869 -352 584 0 
687 -231 -801 0 
-812 -925 -506 0 
-278 -945 -962 0 
-477 572 -4 0 
855 -30 544 0 
269 -805 746 0 
-917 -459 -345 0 
-717 -238 -327 0 
450 -665 -321 0 
-888 -442 658 0 
-582 497 233 0 
-440 553 534 0 
388 345 -799 0 
-947 168 -760 0 
-656 562 -387 0 
-412 -500 -812 0 
-586 -723 -21 0 
-624 -774 317 0 
-890 -486 -857 0 
391 390 -654 0 
779 966 -889 0 
798 -805 -588 0 
-598 176 -250 0 
279 672 -330 0 
-980 -825 -281 0 
-26 -873 175 0 
979 -817 669 0 
-824 618 912 0 
628 103 -621 0 
444 -348 -394 0 
