p cnf 1000 1400
943 267 -683 0 
-645 -931 906 0 
684 -439 -380 0 
-206 164 -778 0 
-553 585 26 0 
208 144 172 0 
-475 -797 825 0 
-718 330 -644 0 
-632 814 -721 0 
-364 168 -353 0 
831 937 256 0 
-701 129 890 0 
-692 294 712 0 
-594 605 -582 0 
130 -73 492 0 
602 385 -872 0 
283 551 713 0 
-847 32 370 0 
725 -902 -948 0 
-855 -806 284 0 
394 964 -496 0 
854 -332 292 0 
-975 976 192 0 
229 10 -815 0 
623 -863 658 0 
-176 -439 -992 0 
-668 -371 868 0 
-506 989 414 0 
171 -304 -397 0 
-37 827 -910 0 
312 768 476 0 
821 -781 68 0 
-352 62 195 0 
-166 -280 200 0 
866 -619 -218 0 
-666 670 791 0 
-487 504 -683 0 
684 577 197 0 
752 -344 13 0 
437 539 -708 0 
-745 36 349 0 
332 -23 -350 0 
210 711 -852 0 
-613 538 -385 0 
681 691 545 0 
125 -291 -91 0 
-332 588 -255 0 
191 -840 -684 0 
640 -803 52 0 
-682 315 -254 0 
-520 738 -594 0 
184 509 -8 0 
240 -208 254 0 
661 -498 -625 0 
568 467 -196 0 
625 188 701 0 
904 -984 963 0 
257 -300 502 0 
186 628 -81 0 
78 -629 -842 0 
682 393 -945 0 
-976 -991 159 0 
523 671 -1 0 
113 165 758 0 
-751 416 340 0 
404 -881 -758 0 
359 -504 -453 0 
-41 -827 -102 0 
-809 849 -945 0 
-822 -212 -903 0 
-473 -56 949 0 
344 -807 255 0 
-995 852 -219 0 
-897 -602 693 0 
286 251 -892 0 
-149 -816 -112 0 
-538 218 -87 0 
-856 28 452 0 
226 991 -460 0 
177 839 -316 0 
-34 -275 -286 0 
957 -882 238 0 
-762 -808 102 0 
-225 339 -622 0 
-177 -44 -249 0 
-658 525 300 0 
-641 -212 704 0 
377 505 310 0 
-344 894 997 0 
-923 -353 -959 0 
422 324 -58 0 
729 -310 -457 0 
954 36 -249 0 
-164 829 -568 0 
-103 32 -506 0 
-260 -342 -460 0 
-965 -60 1000 0 
-887 -666 256 0 
924 -255 -331 0 
-870 -84 440 0 
427 297 955 0 
65 767 586 0 
489 -225 193 0 
614 16 89 0 
814 -846 -40 0 
375 665 -7 0 
681 532 742 0 
-150 45 -455 0 
838 769 -286 0 
-302 646 200 0 
-641 -906 583 0 
-643 -524 -776 0 
733 -34 -135 0 
556 491 956 0 
980 -732 -84 0 
109 -622 -564 0 
250 -201 -644 0 
431 904 641 0 
887 665 848 0 
-778 -742 672 0 
-962 657 -9 0 
-569 438 -241 0 
-915 566 -893 0 
-890 662 805 0 
266 34 216 0 
-199 -801 -297 0 
-594 835 152 0 
537 283 277 0 
520 618 -149 0 
-28 -648 -270 0 
392 -802 210 0 
172 794 -63 0 
-403 -296 -942 0 
858 635 -835 0 
106 -776 -754 0 
-195 -835 694 0 
-813 -671 210 0 
18 -608 210 0 
248 -652 -600 0 
22 973 734 0 
562 23 -247 0 
161 456 -229 0 
720 -40 522 0 
-563 510 -878 0 
589 209 981 0 
-401 679 -448 0 
290 893 -934 0 
463 -255 -999 0 
441 -531 -59 0 
-875 -436 607 0 
-747 822 -358 0 
688 476 721 0 
853 -277 -131 0 
-760 -765 -820 0 
130 -781 -738 0 
-463 827 182 0 
-571 -156 383 0 
-176 -705 853 0 
-53 847 209 0 
864 -867 694 0 
-20 704 -227 0 
-780 -85 744 0 
-535 -869 307 0 
-542 -70 -903 0 
382 -38 -414 0 
-222 39 -668 0 
464 -420 -74 0 
-833 -595 997 0 
400 -941 -850 0 
320 909 -797 0 
863 -537 -94 0 
46 55 -679 0 
27 -484 -586 0 
-708 -503 199 0 
757 889 -371 0 
362 8 333 0 
177 -993 965 0 
727 -444 868 0 
939 345 -860 0 
14 123 -602 0 
156 507 328 0 
196 -242 865 0 
-573 -289 247 0 
-896 562 -100 0 
930 541 -920 0 
-212 -864 177 0 
634 -825 783 0 
739 -875 -727 0 
384 909 161 0 
125 -247 -874 0 
-496 144 -845 0 
-231 219 -692 0 
-138 -846 374 0 
-19 -594 -68 0 
-519 -222 -99 0 
-619 -386 547 0 
-35 715 977 0 
-876 -666 771 0 
-270 -493 717 0 
390 -855 131 0 
459 -188 -244 0 
821 451 516 0 
-864 70 928 0 
-63 -31 765 0 
-878 -265 645 0 
-698 -910 -123 0 
-878 595 -243 0 
-497 -292 773 0 
-456 -396 -847 0 
956 30 -431 0 
649 -994 445 0 
-880 -678 -819 0 
-455 -407 102 0 
-88 853 -375 0 
-219 41 827 0 
178 -453 -437 0 
810 -704 -777 0 
86 345 -665 0 
915 -905 705 0 
-39 -860 678 0 
355 154 -601 0 
340 135 63 0 
863 321 -372 0 
843 924 970 0 
-617 -61 472 0 
-421 -954 -474 0 
534 -522 -339 0 
674 681 930 0 
-508 -997 644 0 
189 562 205 0 
567 426 386 0 
959 -640 -683 0 
-97 462 32 0 
694 645 485 0 
-640 681 -513 0 
991 -20 -551 0 
481 -388 373 0 
995 -994 -615 0 
-632 447 -252 0 
-228 -347 -590 0 
222 985 -922 0 
-486 668 327 0 
998 -236 -397 0 
700 -416 -654 0 
-685 268 247 0 
-663 -989 -241 0 
657 981 -168 0 
563 -861 625 0 
145 433 -503 0 
-166 323 -488 0 
151 -265 -69 0 
-602 325 -107 0 
-108 -391 -288 0 
213 712 814 0 
-643 678 682 0 
-457 -172 -83 0 
-71 983 508 0 
768 -886 -708 0 
217 670 -493 0 
-7 304 -252 0 
175 -404 -864 0 
506 679 342 0 
639 648 774 0 
544 -308 -428 0 
460 340 -670 0 
920 56 957 0 
321 820 368 0 
-652 501 316 0 
607 -368 806 0 
390 -369 -845 0 
362 727 -473 0 
762 -999 707 0 
-753 -924 -484 0 
-801 -993 561 0 
-971 -85 -462 0 
-406 -794 -364 0 
-269 638 527 0 
-467 616 327 0 
-887 -87 363 0 
-910 346 -55 0 
815 -673 -321 0 
-727 433 811 0 
-827 -153 -514 0 
243 -62 900 0 
407 995 93 0 
624 -565 -236 0 
413 -953 157 0 
-957 -83 206 0 
387 393 84 0 
612 331 388 0 
-684 562 -268 0 
595 652 243 0 
270 243 -639 0 
873 62 -128 0 
-492 553 912 0 
-499 403 -562 0 
346 -218 701 0 
-814 882 -734 0 
-596 -450 392 0 
229 716 -925 0 
-722 438 -787 0 
720 -480 -529 0 
641 -96 186 0 
-474 -249 543 0 
113 -994 745 0 
-731 -35 274 0 
-892 -355 -633 0 
-216 -966 -42 0 
-799 929 -747 0 
936 -694 507 0 
-1000 -947 -711 0 
-849 743 625 0 
-718 -238 -306 0 
576 -601 333 0 
910 963 365 0 
-922 437 -479 0 
-672 -689 -190 0 
544 -812 -376 0 
-663 -260 440 0 
-379 -351 -275 0 
-410 -329 -109 0 
-683 202 -709 0 
508 1 923 0 
-261 -921 -370 0 
-304 -318 320 0 
976 -672 -965 0 
-235 592 159 0 
433 -573 464 0 
727 9 228 0 
-629 -678 -769 0 
-795 -916 -778 0 
-933 -379 488 0 
635 -666 30 0 
998 -754 942 0 
-676 -568 -277 0 
426 969 -826 0 
-828 -276 327 0 
-994 149 152 0 
301 -705 194 0 
597 -19 821 0 
-883 247 -997 0 
-999 181 511 0 
429 982 -187 0 
-20 -884 -744 0 
-39 893 511 0 
-384 -475 -239 0 
110 -495 172 0 
621 -480 777 0 
95 -744 -638 0 
-250 753 -257 0 
649 20 286 0 
795 -566 -996 0 
-69 -266 -928 0 
-563 311 -800 0 
194 351 -589 0 
-275 443 251 0 
879 745 232 0 
46 -209 -961 0 
811 -110 -757 0 
-935 187 694 0 
-621 591 -325 0 
119 -49 -318 0 
361 -855 991 0 
433 693 292 0 
937 534 664 0 
-794 -862 328 0 
682 -99 867 0 
-91 462 -981 0 
-592 -798 -610 0 
142 -809 28 0 
136 377 -648 0 
805 -190 307 0 
271 -970 -71 0 
-273 -610 -439 0 
-932 182 -702 0 
639 839 596 0 
-434 650 580 0 
478 -852 -805 0 
-610 88 664 0 
-346 -210 -879 0 
232 92 -702 0 
458 503 -537 0 
371 -742 -883 0 
-466 -992 702 0 
-171 883 168 0 
-831 -417 -258 0 
497 331 902 0 
-398 -655 952 0 
-200 95 567 0 
622 -478 -704 0 
44 -873 775 0 
495 990 -483 0 
575 805 -289 0 
-892 -967 504 0 
93 -912 -205 0 
935 -794 -865 0 
-911 -960 434 0 
314 982 -645 0 
349 277 -268 0 
159 -180 -685 0 
-302 -965 164 0 
-53 -681 381 0 
461 926 172 0 
75 -113 401 0 
215 351 -782 0 
-709 -750 507 0 
441 -971 768 0 
-600 -890 -807 0 
-422 7 -865 0 
-270 -806 -8 0 
-51 650 -198 0 
346 -492 -547 0 
-726 186 245 0 
371 777 -443 0 
-115 577 -942 0 
278 595 -411 0 
-413 725 -784 0 
56 231 -653 0 
309 -953 -170 0 
-3 -327 -948 0 
-457 -356 199 0 
-671 697 992 0 
-550 196 414 0 
-486 -712 572 0 
451 -518 513 0 
794 212 818 0 
-615 11 -281 0 
-257 796 -548 0 
704 -611 -868 0 
-248 -182 -934 0 
-60 -54 42 0 
279 -23 734 0 
-420 89 964 0 
534 -178 -568 0 
377 610 647 0 
656 171 863 0 
-256 768 -920 0 
-59 -730 130 0 
-73 -42 205 0 
628 -683 153 0 
-738 -510 252 0 
-251 603 918 0 
355 52 533 0 
-402 923 119 0 
274 583 590 0 
-535 329 64 0 
-595 401 267 0 
160 399 602 0 
574 5 -18 0 
344 -83 -324 0 
673 9 -492 0 
437 -165 -485 0 
825 276 781 0 
517 -244 -445 0 
-370 -229 459 0 
693 -886 806 0 
-903 -733 811 0 
-640 -737 564 0 
118 -883 354 0 
751 -794 171 0 
-566 -807 607 0 
469 713 -527 0 
869 545 972 0 
642 -336 -675 0 
972 -132 -345 0 
783 270 943 0 
-571 -679 15 0 
999 622 146 0 
-284 -537 409 0 
244 -372 -902 0 
-337 183 590 0 
-582 -966 916 0 
-169 -879 -597 0 
-571 823 64 0 
709 -480 792 0 
93 -984 -647 0 
719 361 971 0 
615 84 376 0 
-998 -697 -391 0 
-651 -859 336 0 
-840 -610 248 0 
155 406 -632 0 
-497 -664 -86 0 
318 -321 -357 0 
-422 832 676 0 
-741 -773 157 0 
-722 394 964 0 
-569 517 -488 0 
749 850 -68 0 
329 401 -159 0 
-673 460 -9 0 
