p cnf 1000 1200
100 990 551 0 
-672 -359 593 0 
236 -857 619 0 
936 430 -982 0 
222 -541 -326 0 
334 384 -232 0 
-513 -826 -72 0 
-164 339 -86 0 
886 686 -723 0 
-836 -901 -939 0 
971 2 -353 0 
336 987 -373 0 
20 -983 -557 0 
554 516 557 0 
797 -907 788 0 
-156 636 483 0 
417 965 48 0 
571 -219 -94 0 
-534 982 669 0 
-850 -73 200 0 
402 -276 -187 0 
301 586 -321 0 
-506 598 -616 0 
382 618 369 0 
258 701 645 0 
-735 -120 -556 0 
31 435 198 0 
990 -54 -718 0 
315 -333 265 0 
-231 -949 991 0 
-60 -965 783 0 
-543 154 -711 0 
-923 189 65 0 
814 146 769 0 
-30 -892 168 0 
88 -350 751 0 
-829 -26 541 0 
-303 105 165 0 
-963 -148 -960 0 
643 -757 414 0 
704 817 -601 0 
-838 -384 484 0 
-92 -181 144 0 
-397 745 -483 0 
630 -213 -105 0 
-145 47 -892 0 
-641 384 -22 0 
141 174 -40 0 
-815 561 341 0 
694 828 608 0 
969 352 744 0 
397 6 -355 0 
251 -376 527 0 
-584 -537 486 0 
355 603 152 0 
808 943 120 0 
817 -468 -985 0 
578 -369 -901 0 
-813 565 -697 0 
318 66 -59 0 
624 101 -412 0 
-512 -500 169 0 
208 -112 -385 0 
-50 -421 -664 0 
732 513 -628 0 
-224 -816 -392 0 
11 134 -553 0 
172 440 -79 0 
-686 342 145 0 
-614 -576 -232 0 
489 397 71 0 
-673 -20 -944 0 
-994 -125 -915 0 
-584 -132 146 0 
899 -164 -523 0 
28 -932 864 0 
382 -930 6 0 
-927 602 -783 0 
-618 960 487 0 
66 32 -779 0 
215 -925 398 0 
-887 -556 -236 0 
-359 502 -37 0 
-263 -107 -65 0 
959 79 478 0 
710 488 -159 0 
-794 748 321 0 
-734 -4 -248 0 
535 128 -77 0 
691 412 -592 0 
-891 -790 679 0 
-91 595 324 0 
427 -560 -939 0 
-412 778 278 0 
440 695 47 0 
-250 916 922 0 
-692 -470 235 0 
-408 -491 -469 0 
630 725 947 0 
-26 775 371 0 
438 -781 -409 0 
-771 -926 362 0 
-760 -277 -623 0 
704 260 -473 0 
677 -886 -698 0 
-76 -768 -39 0 
165 157 806 0 
211 738 999 0 
703 -260 -959 0 
-928 343 -46 0 
342 323 275 0 
720 529 928 0 
357 -696 844 0 
653 346 -230 0 
-582 878 573 0 
-647 -920 -342 0 
699 68 -940 0 
-816 -765 -183 0 
615 392 -778 0 
-100 288 -47 0 
481 -734 808 0 
747 373 773 0 
-777 736 -962 0 
-128 67 459 0 
-133 -667 951 0 
590 357 -681 0 
410 -942 -994 0 
382 593 -711 0 
-949 -185 903 0 
-264 758 -279 0 
-243 -250 675 0 
-895 -893 103 0 
452 -787 -543 0 
-734 879 315 0 
559 -541 582 0 
80 758 857 0 
341 818 750 0 
125 -470 -466 0 
834 450 523 0 
-748 -649 -854 0 
-59 297 803 0 
378 -997 -796 0 
653 473 911 0 
-329 769 -805 0 
515 397 -122 0 
700 14 165 0 
-308 614 31 0 
-927 114 -578 0 
323 443 -699 0 
830 659 727 0 
32 -578 -131 0 
-528 104 -953 0 
-174 -128 115 0 
229 -459 -520 0 
436 -937 363 0 
439 -608 -882 0 
-371 -68 675 0 
505 -574 -655 0 
396 557 -140 0 
-604 95 -888 0 
897 415 591 0 
-918 -247 -999 0 
854 -910 -871 0 
-52 -482 -866 0 
-95 193 927 0 
-468 -622 458 0 
-373 369 -414 0 
-139 718 519 0 
31 -423 162 0 
781 724 763 0 
-354 569 689 0 
-857 -411 -631 0 
965 780 759 0 
-238 -680 -306 0 
-585 -409 653 0 
222 -832 797 0 
-735 947 872 0 
307 -275 779 0 
177 695 -998 0 
375 -804 -7 0 
-369 270 465 0 
43 648 666 0 
-132 -73 -553 0 
-751 -113 -500 0 
291 -804 -633 0 
539 241 -319 0 
-367 -13 633 0 
-1000 373 238 0 
-35 243 -230 0 
