p cnf 1000 3600
98 450 1000 0 
333 312 460 0 
-496 -585 889 0 
-910 -982 -257 0 
-793 -549 -344 0 
488 -367 499 0 
-698 389 114 0 
418 -785 1000 0 
-526 -591 -750 0 
-141 675 609 0 
-51 -236 -853 0 
-404 -414 922 0 
742 533 566 0 
-431 -735 224 0 
863 913 -467 0 
-633 -465 873 0 
-674 238 -627 0 
890 -973 -800 0 
920 515 369 0 
-873 666 -271 0 
-962 -154 -83 0 
-108 902 -566 0 
-703 -205 878 0 
645 -346 -941 0 
55 -716 -866 0 
137 636 648 0 
-601 396 962 0 
253 -506 -692 0 
706 -294 -307 0 
726 942 69 0 
115 -473 -470 0 
-144 939 -400 0 
-156 -606 -399 0 
-919 212 757 0 
-373 221 -274 0 
-557 -581 509 0 
506 -425 -22 0 
-808 -573 670 0 
-836 132 -47 0 
-52 -256 -935 0 
-967 487 932 0 
-488 940 841 0 
648 -950 764 0 
903 -906 -102 0 
-671 563 736 0 
824 691 894 0 
395 403 -961 0 
970 583 -395 0 
-816 -576 -801 0 
-844 -173 -206 0 
-267 -233 788 0 
88 755 -453 0 
-465 123 57 0 
835 345 198 0 
787 -748 -563 0 
7 603 -395 0 
-234 885 -34 0 
-909 -462 -432 0 
-767 -845 -132 0 
167 15 383 0 
862 -517 702 0 
231 -187 -433 0 
385 -94 272 0 
956 -843 -356 0 
-679 228 15 0 
-277 903 -610 0 
-552 -612 642 0 
376 -425 797 0 
411 170 -891 0 
218 -534 394 0 
40 -762 554 0 
814 -92 -583 0 
-335 -694 484 0 
616 -68 -431 0 
362 -973 -598 0 
-492 -326 -5 0 
-617 -366 666 0 
629 -66 -228 0 
430 635 974 0 
-600 335 213 0 
-956 -14 966 0 
-780 960 165 0 
915 871 -397 0 
-863 -400 -145 0 
454 802 -767 0 
-196 93 134 0 
-797 -423 799 0 
662 28 -231 0 
-416 -605 -18 0 
831 908 -459 0 
626 717 -134 0 
33 536 403 0 
593 -398 -824 0 
865 -970 301 0 
-419 -915 182 0 
428 -222 904 0 
787 -232 332 0 
-380 -860 313 0 
447 -66 -106 0 
495 -452 -597 0 
-256 767 945 0 
-438 338 896 0 
464 789 -686 0 
-94 100 -356 0 
-300 -264 -450 0 
-581 -996 178 0 
123 189 966 0 
675 661 -833 0 
-53 -410 455 0 
351 754 -321 0 
-263 306 696 0 
199 -910 -324 0 
196 -171 57 0 
520 631 -299 0 
-284 16 -848 0 
497 398 -756 0 
106 327 -162 0 
-605 -571 552 0 
-823 44 -991 0 
-484 -29 -902 0 
869 -896 114 0 
362 78 361 0 
506 75 977 0 
270 230 646 0 
61 125 267 0 
143 716 -76 0 
19 -85 -950 0 
27 90 -255 0 
338 858 -290 0 
977 -148 857 0 
466 823 -850 0 
292 -5 26 0 
-933 -543 184 0 
-343 -130 424 0 
623 -929 -334 0 
547 830 602 0 
-579 48 362 0 
63 -236 -214 0 
669 -125 -620 0 
-317 -324 -124 0 
375 -943 922 0 
-378 -900 -739 0 
615 840 -557 0 
-160 -756 651 0 
-96 -451 -214 0 
716 -615 515 0 
-418 224 930 0 
-430 -817 -688 0 
-741 130 -692 0 
464 510 569 0 
-865 -277 -244 0 
239 32 799 0 
766 60 -718 0 
-316 258 148 0 
618 787 859 0 
476 -749 -323 0 
390 -229 290 0 
295 -498 -418 0 
-901 -699 990 0 
865 -507 873 0 
1 129 -704 0 
-237 -802 -786 0 
718 427 574 0 
-848 -781 225 0 
-484 1 315 0 
231 -19 -939 0 
239 299 6 0 
253 -586 -174 0 
-82 -629 243 0 
-129 16 -342 0 
-472 -447 -370 0 
-717 -925 -614 0 
-285 -809 856 0 
-953 137 734 0 
157 9 -456 0 
-896 -300 348 0 
786 263 333 0 
428 222 768 0 
-874 155 -128 0 
711 -30 219 0 
-213 449 219 0 
211 836 686 0 
-953 990 -316 0 
-415 901 -673 0 
764 -126 123 0 
-605 -906 -358 0 
-348 606 799 0 
517 916 475 0 
-385 387 -263 0 
86 -706 -46 0 
-971 474 -633 0 
673 -960 -918 0 
-111 -543 -267 0 
596 992 524 0 
578 -516 970 0 
-623 -367 773 0 
722 -126 -185 0 
17 -697 -261 0 
88 -766 53 0 
-432 -479 221 0 
87 615 911 0 
-54 -790 313 0 
-989 -954 793 0 
5 916 -547 0 
-963 -678 886 0 
-612 -73 -670 0 
110 -643 517 0 
679 149 489 0 
455 957 -878 0 
402 857 143 0 
492 73 714 0 
895 721 -303 0 
-343 -251 921 0 
-754 -878 -263 0 
624 890 -307 0 
730 799 -944 0 
623 -342 -743 0 
-575 514 -550 0 
874 -152 -695 0 
327 -137 -423 0 
-371 -905 -41 0 
-183 498 -943 0 
891 426 926 0 
-802 598 -844 0 
691 207 971 0 
467 862 90 0 
-139 136 -74 0 
537 667 511 0 
204 -246 -504 0 
267 -136 288 0 
305 909 -872 0 
-994 940 851 0 
-588 352 127 0 
309 357 -177 0 
-698 391 -443 0 
-198 113 -941 0 
-822 805 300 0 
-284 -474 -909 0 
-332 -509 -396 0 
-690 996 616 0 
648 235 441 0 
-672 -350 -169 0 
-845 917 -469 0 
969 859 -795 0 
-353 -658 413 0 
472 171 -308 0 
-594 924 804 0 
-264 243 77 0 
432 707 275 0 
-134 -329 581 0 
