p cnf 1000 2600
-674 -436 736 0 
-537 502 260 0 
-868 14 -535 0 
-653 245 93 0 
-920 -209 513 0 
-528 -193 -245 0 
818 -183 26 0 
-659 -387 401 0 
-275 116 892 0 
-839 660 -791 0 
-619 -294 -475 0 
-110 716 -564 0 
557 -627 957 0 
-140 -577 -903 0 
-193 257 797 0 
253 -316 663 0 
324 287 286 0 
-214 751 -559 0 
-906 889 261 0 
126 -322 -134 0 
630 53 984 0 
918 -590 -932 0 
278 -411 248 0 
-861 -761 -410 0 
23 -256 -769 0 
-106 970 768 0 
-642 -520 -39 0 
727 -455 742 0 
-949 201 841 0 
28 -827 -149 0 
367 45 621 0 
615 -419 93 0 
-852 211 -980 0 
309 -893 -783 0 
-253 -802 900 0 
-79 -687 -895 0 
163 -680 -54 0 
-29 -194 -959 0 
-282 515 868 0 
950 870 847 0 
-177 157 592 0 
-313 -642 -464 0 
489 -816 -743 0 
311 107 468 0 
382 -476 -271 0 
585 997 367 0 
-722 -281 460 0 
-779 -909 885 0 
91 750 346 0 
927 -631 -876 0 
-37 -609 577 0 
566 333 -922 0 
-773 -831 659 0 
316 757 854 0 
-137 291 -435 0 
367 -26 810 0 
-913 -31 -563 0 
-216 -325 -101 0 
523 -856 558 0 
781 -742 -117 0 
531 -427 -417 0 
-987 -14 -374 0 
485 788 807 0 
-420 85 -596 0 
979 -547 -526 0 
226 129 -800 0 
-76 -4 34 0 
-212 -515 879 0 
-854 -163 -885 0 
-860 -619 -332 0 
-93 983 -575 0 
-219 902 919 0 
-557 738 -381 0 
-707 -638 -524 0 
-909 111 -843 0 
-835 -159 -317 0 
-485 -753 -885 0 
758 202 -47 0 
394 -673 30 0 
49 685 197 0 
869 -118 139 0 
-961 921 670 0 
-180 56 184 0 
-640 -682 501 0 
-938 745 -594 0 
505 933 -739 0 
257 -994 -269 0 
189 -988 -517 0 
446 87 333 0 
-636 443 -592 0 
-163 916 883 0 
105 -384 279 0 
465 820 111 0 
-397 826 -529 0 
-314 -117 -55 0 
-981 988 519 0 
-342 -280 -100 0 
-3 -372 -931 0 
-610 581 -546 0 
-826 -46 -559 0 
-677 177 -400 0 
-834 457 386 0 
-252 685 -75 0 
515 -981 268 0 
-459 943 170 0 
600 -444 -988 0 
475 -245 113 0 
691 47 334 0 
-637 -194 714 0 
155 -698 124 0 
-913 -236 783 0 
849 763 -836 0 
-455 241 -412 0 
-143 -837 739 0 
203 -263 520 0 
470 56 375 0 
-832 900 -24 0 
294 -932 -829 0 
789 -593 34 0 
21 333 692 0 
-836 -763 -733 0 
-765 -973 791 0 
-640 -782 282 0 
-513 -752 969 0 
452 141 -216 0 
-868 -467 -63 0 
788 -342 -704 0 
-493 808 739 0 
839 785 557 0 
862 -438 -82 0 
216 464 -47 0 
246 506 -68 0 
149 -617 921 0 
16 -449 -688 0 
824 -231 -43 0 
-349 -550 607 0 
-715 382 729 0 
-204 -697 -77 0 
-697 -804 -720 0 
-606 -552 -335 0 
-445 -875 412 0 
-144 -495 -757 0 
463 -134 126 0 
-363 -97 432 0 
-589 855 -261 0 
-897 339 585 0 
651 254 17 0 
596 171 -39 0 
489 -429 -558 0 
133 485 -638 0 
-815 -701 -452 0 
632 654 -544 0 
196 94 -166 0 
267 804 -455 0 
856 643 -827 0 
966 649 34 0 
-350 12 -323 0 
418 65 -895 0 
3 -335 -48 0 
-699 -560 768 0 
52 123 201 0 
-372 -533 -423 0 
593 -453 685 0 
-372 775 -738 0 
843 -23 -962 0 
469 709 -659 0 
257 -854 -135 0 
-280 -959 -464 0 
-936 -649 -848 0 
-62 -315 891 0 
365 -142 -803 0 
708 914 -54 0 
-436 71 377 0 
546 -404 -647 0 
649 -254 449 0 
-604 741 -179 0 
230 87 454 0 
-975 -280 -424 0 
-990 213 716 0 
-248 152 937 0 
-538 -865 -473 0 
143 -317 -992 0 
-591 -425 -765 0 
597 999 -226 0 
-62 -644 -295 0 
-87 470 824 0 
979 -580 422 0 
-612 -700 850 0 
-421 -161 349 0 
892 284 393 0 
726 -661 -286 0 
-751 -24 25 0 
-757 481 -334 0 
-170 -617 -523 0 
-512 97 -208 0 
124 972 -465 0 
629 86 831 0 
643 -77 -661 0 
624 -635 -413 0 
-375 407 -899 0 
-706 -755 799 0 
-410 -3 -771 0 
831 -98 -354 0 
-148 5 976 0 
692 203 -842 0 
-114 -289 24 0 
-566 -387 -940 0 
-333 -398 -930 0 
-253 6 -274 0 
-84 183 624 0 
-815 -442 -865 0 
201 618 426 0 
-842 -162 19 0 
-732 -662 -812 0 
-451 -715 931 0 
-717 265 -86 0 
-121 318 319 0 
-450 44 511 0 
161 -249 -847 0 
-289 952 666 0 
-240 -923 -542 0 
964 -504 116 0 
-729 -370 448 0 
-107 -11 667 0 
993 -393 -144 0 
247 -813 -683 0 
-877 163 243 0 
-423 -905 886 0 
-84 178 -533 0 
351 -445 -123 0 
133 82 530 0 
105 -841 355 0 
-294 772 416 0 
-685 205 -185 0 
273 783 -950 0 
-243 -727 193 0 
-951 -968 -204 0 
727 -169 -887 0 
-583 -157 4 0 
711 -156 -242 0 
-356 -40 18 0 
941 -478 765 0 
-468 54 -875 0 
347 593 179 0 
-993 -195 -922 0 
64 -176 -637 0 
-861 -52 779 0 
-146 592 972 0 
-398 626 -717 0 
702 212 140 0 
846 -674 526 0 
-228 287 345 0 
-787 -250 387 0 
781 197 233 0 
-735 -410 25 0 
-408 969 -779 0 
-248 718 577 0 
-761 -707 141 0 
155 916 -535 0 
768 505 221 0 
-24 -888 -415 0 
684 -94 107 0 
722 -761 -14 0 
-537 689 -14 0 
-668 -939 650 0 
-678 217 -655 0 
76 -309 672 0 
318 -700 -647 0 
-844 -942 -623 0 
-550 355 1000 0 
-190 -73 -507 0 
-72 -694 650 0 
305 -6 606 0 
351 111 -26 0 
50 479 370 0 
-528 -174 -647 0 
553 849 900 0 
892 279 -500 0 
-59 -523 -528 0 
-989 678 -970 0 
-577 -284 -99 0 
357 135 561 0 
-552 -469 337 0 
-190 878 -537 0 
930 481 -566 0 
445 -449 983 0 
-86 944 -654 0 
527 422 -594 0 
-392 676 148 0 
-40 -529 481 0 
-619 544 -641 0 
-468 93 -628 0 
-210 7 617 0 
-833 149 -706 0 
902 634 -900 0 
183 -604 476 0 
-397 217 87 0 
-165 -74 -436 0 
538 -94 -809 0 
688 -994 -842 0 
115 -14 627 0 
-878 810 -919 0 
656 391 -48 0 
810 42 939 0 
282 406 361 0 
-918 35 -653 0 
-541 -868 932 0 
-517 545 446 0 
896 -669 206 0 
-977 254 -962 0 
842 70 -494 0 
-62 -542 -148 0 
323 995 -983 0 
677 -398 127 0 
951 -966 -125 0 
-828 885 598 0 
-346 -509 -971 0 
518 496 -728 0 
-542 -942 213 0 
848 -840 33 0 
-892 -646 -941 0 
22 926 -497 0 
83 603 -775 0 
491 187 -948 0 
317 -446 -396 0 
71 -329 627 0 
272 516 -776 0 
61 114 -94 0 
281 929 319 0 
279 782 -148 0 
544 -519 -403 0 
-745 851 -966 0 
-527 -879 -407 0 
660 518 -833 0 
-439 604 -165 0 
939 -614 -889 0 
-137 -560 126 0 
-503 -810 234 0 
57 509 -637 0 
471 299 72 0 
359 -464 548 0 
626 853 -38 0 
653 130 847 0 
-273 165 -811 0 
359 943 327 0 
289 771 -789 0 
-11 -87 540 0 
-582 -832 769 0 
-879 -500 433 0 
150 -926 -527 0 
-806 309 706 0 
-90 925 85 0 
-986 918 114 0 
999 338 -273 0 
-916 52 138 0 
916 -819 -614 0 
603 -503 460 0 
-183 -263 963 0 
762 -230 -180 0 
131 -321 995 0 
160 -576 703 0 
513 -365 72 0 
643 -395 -769 0 
-693 529 513 0 
-857 316 -982 0 
-619 -900 -753 0 
-247 -831 284 0 
-680 277 689 0 
764 -975 -929 0 
-334 162 -320 0 
-874 433 -513 0 
-538 -97 -80 0 
-857 -718 -307 0 
-725 -478 969 0 
527 -835 -526 0 
-157 14 -494 0 
-2 -541 -892 0 
963 281 -270 0 
992 428 -588 0 
-685 -404 -110 0 
-900 -721 377 0 
-358 799 -535 0 
-729 355 -753 0 
646 -295 352 0 
-267 166 -941 0 
235 257 822 0 
16 692 -85 0 
924 837 -149 0 
880 -933 982 0 
-595 -476 524 0 
95 -609 470 0 
-158 28 117 0 
786 50 774 0 
-719 -283 -138 0 
720 -553 -800 0 
668 -221 -984 0 
667 -893 262 0 
916 213 -89 0 
-720 495 283 0 
