p cnf 1000 500
820 732 -919 0 
-643 752 -326 0 
514 -720 748 0 
253 484 -95 0 
-307 844 -716 0 
-537 241 264 0 
-260 -301 -904 0 
-350 646 924 0 
-376 437 46 0 
808 913 -782 0 
-469 534 -297 0 
-980 -225 -830 0 
69 479 -268 0 
10 -671 -425 0 
-640 482 -603 0 
-965 -607 -581 0 
-528 443 -253 0 
872 -628 154 0 
32 894 621 0 
-799 574 -953 0 
187 -572 -808 0 
-632 430 336 0 
-235 -574 -202 0 
-902 -283 -183 0 
-661 -945 778 0 
-953 -769 399 0 
425 -504 -150 0 
989 996 492 0 
313 539 -400 0 
791 -937 -807 0 
-539 -660 777 0 
988 384 782 0 
-798 951 -729 0 
-938 230 537 0 
-774 871 283 0 
-960 131 764 0 
928 -239 -975 0 
517 820 844 0 
-386 -459 -60 0 
287 -574 -48 0 
122 236 -807 0 
-453 -148 -331 0 
-594 692 -528 0 
17 193 -44 0 
-245 395 -445 0 
293 550 787 0 
-948 26 595 0 
-345 514 -816 0 
-933 -465 -338 0 
-711 -309 -410 0 
-852 191 741 0 
-831 -836 163 0 
255 -672 -212 0 
-178 81 493 0 
206 -880 -313 0 
575 748 -850 0 
305 -618 -314 0 
-338 -500 409 0 
539 254 218 0 
289 761 -630 0 
-139 622 -196 0 
750 44 115 0 
749 -881 -15 0 
-424 -323 57 0 
-258 -462 -131 0 
-889 -783 610 0 
-23 113 271 0 
-810 -589 -864 0 
-111 498 355 0 
-263 233 661 0 
-705 516 235 0 
135 -719 336 0 
135 466 -541 0 
-640 855 999 0 
827 -59 -108 0 
-21 765 492 0 
260 -666 19 0 
-388 101 -273 0 
262 20 -430 0 
494 -465 595 0 
-440 812 170 0 
-349 -312 555 0 
447 -986 -934 0 
222 -71 679 0 
-204 285 877 0 
771 -110 797 0 
-734 -909 809 0 
-713 -308 146 0 
-607 -869 -143 0 
530 232 922 0 
591 -29 396 0 
-8 564 975 0 
440 -841 141 0 
-258 -432 463 0 
-772 -393 -924 0 
642 -618 -334 0 
-631 182 730 0 
749 456 599 0 
-737 406 -66 0 
-673 -195 670 0 
784 661 -960 0 
-623 -66 18 0 
958 469 -620 0 
-123 -47 -508 0 
-234 944 47 0 
685 870 -720 0 
-162 -281 -975 0 
915 -728 -324 0 
-369 -962 63 0 
-704 811 -370 0 
347 763 36 0 
202 329 609 0 
828 -678 -427 0 
660 -758 550 0 
762 885 -149 0 
-170 931 172 0 
679 -441 97 0 
823 345 230 0 
-416 -777 910 0 
-639 776 -265 0 
206 -352 -395 0 
