p cnf 1000 900
-421 532 186 0 
-495 979 340 0 
-269 -581 -275 0 
393 -283 491 0 
488 -32 -617 0 
366 516 150 0 
751 390 -839 0 
821 -317 989 0 
525 -777 -10 0 
-467 105 223 0 
357 813 -231 0 
-708 333 -890 0 
-587 288 -275 0 
950 -308 906 0 
-76 760 20 0 
693 955 -374 0 
-337 -806 485 0 
-473 57 -552 0 
-613 -103 -12 0 
777 -157 129 0 
-723 156 261 0 
-357 -167 223 0 
427 762 -384 0 
933 820 936 0 
37 230 52 0 
112 -434 -783 0 
-59 -814 -561 0 
-422 687 978 0 
348 -542 941 0 
-786 -106 854 0 
-411 265 -960 0 
945 -103 105 0 
-274 542 -117 0 
-267 453 873 0 
157 -915 537 0 
-110 843 498 0 
190 741 231 0 
-709 271 869 0 
764 -113 -809 0 
-773 130 413 0 
-231 -241 -767 0 
-100 -813 941 0 
443 -119 388 0 
894 -368 117 0 
928 177 -204 0 
713 -871 942 0 
-383 -197 -489 0 
-914 -93 884 0 
-606 282 -233 0 
441 -274 -918 0 
504 926 -792 0 
-494 713 508 0 
529 160 952 0 
942 -790 -958 0 
186 -355 -676 0 
-922 -518 -817 0 
899 723 -581 0 
-164 764 -131 0 
-461 -120 442 0 
433 -961 70 0 
305 -388 -501 0 
311 711 -305 0 
34 -472 185 0 
60 148 -896 0 
-849 112 -285 0 
915 718 454 0 
282 -897 -847 0 
-905 -349 614 0 
821 420 188 0 
-963 -820 -942 0 
215 640 -233 0 
-674 198 632 0 
30 350 943 0 
274 -831 136 0 
-461 -843 -9 0 
-548 944 924 0 
-541 -482 587 0 
88 642 -667 0 
-348 -281 -990 0 
339 -656 20 0 
-44 966 839 0 
-891 -602 -10 0 
-159 -63 357 0 
-468 -827 856 0 
-315 -125 -861 0 
-148 -123 -822 0 
-835 361 -185 0 
-817 -679 -881 0 
205 466 -563 0 
400 -775 795 0 
-35 -457 591 0 
139 -334 -463 0 
159 762 571 0 
-881 767 -563 0 
964 199 -449 0 
-973 101 -585 0 
-843 -315 -465 0 
-72 -86 -160 0 
-211 195 696 0 
600 -762 765 0 
884 -166 975 0 
807 891 536 0 
646 -342 -262 0 
-833 -260 826 0 
-523 -751 164 0 
701 -232 250 0 
108 325 213 0 
843 427 -174 0 
-155 -175 85 0 
759 -657 136 0 
-115 -470 -436 0 
9 -866 653 0 
-189 -787 849 0 
696 764 -723 0 
-867 665 479 0 
-514 -872 -326 0 
-483 985 -450 0 
-192 565 -354 0 
692 293 -901 0 
-194 -238 -145 0 
-482 -616 204 0 
-779 402 658 0 
-447 527 -605 0 
-846 150 690 0 
-764 -495 98 0 
-127 365 -983 0 
567 -572 470 0 
-508 275 -824 0 
720 -832 -149 0 
263 -652 -676 0 
-148 666 711 0 
282 -318 34 0 
-268 524 145 0 
-1000 -208 -783 0 
395 -609 662 0 
-913 202 345 0 
711 -447 443 0 
512 495 403 0 
-840 -870 771 0 
816 -800 28 0 
-167 738 337 0 
-448 -68 -225 0 
854 690 -702 0 
-242 811 227 0 
-923 -80 517 0 
797 -257 -564 0 
-196 -729 -476 0 
605 -860 878 0 
668 78 166 0 
487 -983 832 0 
-673 973 -678 0 
871 -507 780 0 
-740 -330 -708 0 
593 -841 -143 0 
133 35 -664 0 
843 443 822 0 
-975 781 -966 0 
-982 54 264 0 
894 603 -427 0 
621 62 260 0 
678 801 572 0 
769 -912 962 0 
168 940 -748 0 
-162 898 -579 0 
100 -178 -954 0 
-730 -122 -107 0 
358 895 -909 0 
767 439 -694 0 
676 356 -846 0 
-884 -345 421 0 
-110 805 771 0 
774 -496 864 0 
-67 481 -78 0 
136 -825 -464 0 
-766 226 -982 0 
843 -628 -661 0 
942 206 995 0 
764 772 142 0 
334 275 -212 0 
251 -996 -44 0 
-619 -964 647 0 
26 738 -490 0 
-601 -160 848 0 
526 797 -161 0 
-671 992 953 0 
369 762 278 0 
100 -170 490 0 
-566 -9 -21 0 
-211 374 297 0 
939 278 322 0 
422 586 16 0 
-708 753 -949 0 
-818 282 856 0 
408 -612 -597 0 
456 983 -429 0 
-827 -452 754 0 
260 -851 526 0 
839 -120 -309 0 
-716 -217 -958 0 
-368 -744 312 0 
-623 378 742 0 
998 95 -293 0 
945 -246 -216 0 
-978 -225 930 0 
-81 -236 542 0 
282 556 -98 0 
-586 437 -815 0 
-564 -219 727 0 
-53 -291 450 0 
-447 -76 944 0 
325 -581 59 0 
780 -771 526 0 
-253 -320 -470 0 
-660 384 341 0 
65 -895 515 0 
948 -591 -365 0 
-109 731 -108 0 
-24 -60 674 0 
135 889 -961 0 
3 438 -218 0 
795 -53 -731 0 
-820 65 358 0 
461 910 528 0 
-191 790 736 0 
-495 -46 283 0 
-470 -522 -394 0 
443 43 738 0 
827 767 293 0 
377 471 582 0 
-34 -73 -460 0 
-205 217 21 0 
151 395 -821 0 
532 402 -682 0 
-556 811 -647 0 
432 -59 -344 0 
744 -506 292 0 
-566 -16 240 0 
-567 -944 -973 0 
787 -442 872 0 
-795 -586 417 0 
-158 -94 328 0 
261 584 -884 0 
-511 -209 -552 0 
209 73 -997 0 
-567 86 443 0 
798 -281 -923 0 
764 -602 -96 0 
-263 150 -623 0 
-724 70 -39 0 
851 791 64 0 
-692 800 -467 0 
-646 917 321 0 
-94 120 -938 0 
142 -446 730 0 
-279 -400 559 0 
888 398 -248 0 
-481 -777 -630 0 
612 -282 -98 0 
407 -729 -602 0 
421 -210 214 0 
-886 -684 -709 0 
-464 -128 92 0 
-916 434 188 0 
433 837 -376 0 
73 436 -882 0 
722 35 200 0 
-264 -342 -785 0 
-960 225 -114 0 
534 -455 -179 0 
367 465 -693 0 
-797 -491 -560 0 
10 85 -139 0 
928 -237 52 0 
-637 -723 346 0 
153 381 -527 0 
-281 -563 -191 0 
397 703 17 0 
-782 446 -189 0 
940 420 -660 0 
47 606 -591 0 
411 400 -735 0 
-13 -288 -477 0 
759 -114 -336 0 
-469 -18 398 0 
-393 -595 823 0 
359 568 39 0 
432 -192 410 0 
981 -632 -676 0 
-40 864 982 0 
125 239 370 0 
-82 448 -943 0 
473 -694 265 0 
417 -574 492 0 
-636 993 -52 0 
462 990 297 0 
455 -764 926 0 
-7 324 662 0 
171 937 951 0 
-33 668 725 0 
-277 -70 638 0 
-357 529 -155 0 
709 505 758 0 
633 -54 744 0 
790 -362 726 0 
-613 27 -794 0 
779 -633 -674 0 
-102 -248 -483 0 
443 -84 -710 0 
-548 634 -619 0 
931 916 -408 0 
-950 -237 -467 0 
-300 309 37 0 
314 -806 -700 0 
672 100 541 0 
488 -763 476 0 
-458 -554 -369 0 
30 201 -278 0 
968 -109 -704 0 
871 188 -385 0 
-835 430 838 0 
-67 -765 -539 0 
-207 71 334 0 
644 815 -337 0 
92 878 -214 0 
-249 372 10 0 
-902 -60 -76 0 
69 -64 820 0 
96 -734 101 0 
535 157 -702 0 
453 -224 630 0 
133 222 -733 0 
-872 -790 -826 0 
-117 760 394 0 
-709 -721 -79 0 
527 745 -114 0 
-587 -223 -778 0 
171 -138 -853 0 
688 -148 503 0 
992 -494 -93 0 
-943 -653 -906 0 
476 -913 902 0 
965 832 962 0 
434 689 -523 0 
-861 -747 356 0 
850 394 -106 0 
-982 605 -224 0 
-509 -662 -98 0 
-795 553 -990 0 
857 369 714 0 
905 -278 -838 0 
384 -120 10 0 
-432 739 446 0 
254 -660 125 0 
681 485 -651 0 
-810 -429 329 0 
111 -597 286 0 
858 869 365 0 
169 262 309 0 
728 -187 903 0 
-86 507 547 0 
-513 -410 -842 0 
553 27 198 0 
-659 85 -705 0 
54 910 462 0 
-892 -82 -902 0 
996 -814 -383 0 
303 327 699 0 
-86 -945 256 0 
594 -909 184 0 
-203 207 943 0 
748 533 -972 0 
43 397 -479 0 
-517 912 -867 0 
-132 376 -409 0 
309 608 315 0 
-421 -540 816 0 
-665 -110 948 0 
241 871 654 0 
-291 411 405 0 
-632 889 -290 0 
517 -332 -970 0 
132 942 -470 0 
378 704 -41 0 
-554 265 -359 0 
-27 395 300 0 
-352 -618 795 0 
-177 -456 470 0 
436 596 192 0 
869 -579 -750 0 
796 533 62 0 
517 -336 853 0 
-24 -335 755 0 
295 -731 -671 0 
575 955 -971 0 
-720 617 -258 0 
54 -567 -891 0 
963 39 712 0 
533 -502 427 0 
994 167 28 0 
731 -887 368 0 
-326 798 -512 0 
462 29 672 0 
469 -858 -659 0 
654 -222 -634 0 
-27 -802 495 0 
975 -333 -36 0 
-477 -522 695 0 
333 612 -212 0 
-546 -133 768 0 
724 -308 -719 0 
-56 577 182 0 
480 -32 815 0 
518 -452 -149 0 
-176 543 -725 0 
254 -741 763 0 
-358 834 -295 0 
-429 -988 975 0 
162 388 833 0 
267 239 -625 0 
-956 -256 53 0 
953 -486 443 0 
-410 486 919 0 
-794 301 -97 0 
513 -609 -616 0 
-143 593 -532 0 
907 -345 60 0 
454 -941 -922 0 
309 914 408 0 
-122 120 -820 0 
-86 771 -741 0 
-604 -830 718 0 
-277 -424 606 0 
-780 -836 -543 0 
-492 -620 -953 0 
103 386 538 0 
-652 61 350 0 
-5 -184 -707 0 
-773 -448 -740 0 
-681 -316 227 0 
65 -431 376 0 
-86 -413 -90 0 
211 981 409 0 
-834 -748 28 0 
-487 -569 929 0 
-893 696 394 0 
-128 -755 -855 0 
-582 767 -701 0 
-653 -453 339 0 
67 387 900 0 
947 885 -153 0 
546 -17 -395 0 
-337 -927 -759 0 
140 518 -372 0 
157 -65 -928 0 
-873 -478 298 0 
-106 979 -319 0 
-114 722 -692 0 
-71 395 961 0 
883 28 -745 0 
-472 100 -383 0 
428 -217 620 0 
-477 -864 -662 0 
661 -287 -907 0 
-647 -490 -225 0 
-121 -770 -903 0 
726 -648 -775 0 
-667 554 -93 0 
-427 339 198 0 
-354 738 -373 0 
572 -702 741 0 
-326 -647 627 0 
983 -317 727 0 
142 83 -690 0 
-683 308 -118 0 
-617 979 -202 0 
525 279 -519 0 
-306 82 -152 0 
657 165 -937 0 
-322 -232 -691 0 
-966 -184 -742 0 
806 -18 -205 0 
235 247 -212 0 
-72 -489 110 0 
-983 968 717 0 
-14 184 -692 0 
768 -603 639 0 
779 153 46 0 
881 -832 -199 0 
-134 -72 -136 0 
-795 -45 649 0 
299 225 641 0 
565 652 -455 0 
883 -767 -361 0 
-649 -956 -986 0 
-891 948 830 0 
-762 -253 -788 0 
-666 191 -479 0 
-684 -300 -350 0 
878 639 131 0 
-199 600 534 0 
372 -915 287 0 
245 -409 483 0 
-325 -718 -109 0 
-81 838 681 0 
301 484 -218 0 
-643 939 -766 0 
926 -472 -752 0 
-876 135 178 0 
381 -603 -258 0 
-516 -904 263 0 
595 488 681 0 
-533 288 795 0 
-716 404 -772 0 
-174 42 -768 0 
-585 810 -280 0 
-503 -80 752 0 
514 324 -612 0 
722 387 797 0 
-686 -577 -785 0 
-614 381 84 0 
409 -294 -388 0 
-512 826 -447 0 
68 592 559 0 
491 -30 414 0 
-418 481 -94 0 
-260 475 574 0 
-633 459 -91 0 
731 632 385 0 
888 -311 -773 0 
-867 -358 626 0 
855 -209 -92 0 
-246 -414 531 0 
299 48 -751 0 
818 -851 853 0 
-612 162 520 0 
-286 -612 -798 0 
-506 -392 -947 0 
-405 -751 665 0 
-524 -418 703 0 
-890 785 704 0 
-628 381 97 0 
608 -321 -547 0 
-505 -150 -358 0 
-954 574 -915 0 
624 90 -240 0 
157 216 -237 0 
-109 398 -70 0 
