p cnf 1000 100
909 51 -521 0 
384 -5 944 0 
861 -898 278 0 
934 -829 538 0 
-815 972 -23 0 
728 844 875 0 
320 148 -91 0 
867 -278 873 0 
263 -202 -561 0 
94 506 -780 0 
-521 -38 -23 0 
-95 132 610 0 
442 451 -439 0 
364 -746 -778 0 
659 -919 -533 0 
52 -255 -506 0 
-493 -375 -537 0 
802 12 969 0 
740 -898 -915 0 
-189 -432 881 0 
-171 -92 -178 0 
901 505 -593 0 
615 776 -978 0 
441 -622 722 0 
289 535 471 0 
160 618 540 0 
843 -15 -195 0 
37 36 -625 0 
499 -673 -123 0 
-523 -911 -782 0 
-318 -443 -26 0 
-801 -546 798 0 
348 297 -995 0 
83 -230 -369 0 
782 571 -574 0 
-986 -503 20 0 
-517 275 344 0 
-342 649 984 0 
812 266 -957 0 
-418 -926 175 0 
276 923 323 0 
-236 -151 -944 0 
-388 473 750 0 
-802 -717 655 0 
249 -68 285 0 
798 -378 -74 0 
-980 708 -24 0 
634 620 519 0 
-312 -571 859 0 
149 535 291 0 
775 -955 -728 0 
964 -842 -648 0 
-956 -117 136 0 
51 454 -384 0 
-638 -352 -326 0 
-724 510 270 0 
-738 257 -204 0 
467 -378 437 0 
979 -645 -434 0 
-974 -30 879 0 
345 863 404 0 
-56 -294 382 0 
78 146 -872 0 
736 892 362 0 
930 531 -790 0 
-46 726 -538 0 
458 -462 806 0 
228 441 496 0 
-614 146 -659 0 
-288 196 721 0 
580 356 -632 0 
99 -511 -290 0 
-104 67 -376 0 
-267 -237 393 0 
75 231 -641 0 
63 786 -951 0 
-973 542 726 0 
800 137 752 0 
-774 831 180 0 
450 -781 -539 0 
513 71 377 0 
349 -14 711 0 
-744 774 -720 0 
381 853 -702 0 
-887 66 -325 0 
-339 -93 -497 0 
-155 -483 -922 0 
-863 -299 440 0 
-879 -761 211 0 
679 212 -968 0 
-56 -435 -463 0 
349 331 671 0 
-771 414 387 0 
730 -505 -365 0 
-638 347 -549 0 
-119 386 -394 0 
-289 -529 -744 0 
194 -313 -136 0 
-922 296 -7 0 
-43 -466 635 0 
