p cnf 1000 600
-625 -152 401 0 
-461 994 -786 0 
-869 -832 447 0 
-182 -469 -44 0 
91 442 -331 0 
81 260 511 0 
-718 794 792 0 
896 -860 370 0 
-474 -397 340 0 
752 28 -331 0 
109 -750 -526 0 
351 334 -467 0 
-120 110 -48 0 
181 -167 -984 0 
-659 782 -615 0 
884 223 590 0 
-999 94 440 0 
-380 -957 984 0 
-676 174 -199 0 
-152 -515 198 0 
123 526 229 0 
603 -813 70 0 
82 158 358 0 
401 -249 847 0 
807 349 224 0 
-231 598 -953 0 
446 796 544 0 
385 627 -24 0 
-574 -824 590 0 
-6 -337 891 0 
817 -574 410 0 
-281 586 -383 0 
825 -505 215 0 
-880 424 -962 0 
776 705 -364 0 
-74 930 -202 0 
-169 -628 -492 0 
-834 208 732 0 
-477 -280 -765 0 
507 -665 873 0 
-896 -745 923 0 
752 651 588 0 
904 516 854 0 
-213 -790 247 0 
267 269 231 0 
781 -4 -171 0 
544 146 -602 0 
-707 -352 621 0 
462 -478 -781 0 
-97 211 -91 0 
389 -140 -464 0 
-32 639 761 0 
-684 -728 -538 0 
219 903 -817 0 
105 -969 890 0 
-423 -830 61 0 
699 138 267 0 
573 -622 -167 0 
-915 607 -997 0 
-795 -417 -272 0 
316 695 -568 0 
849 778 -308 0 
-925 854 -888 0 
140 914 -882 0 
-685 53 -115 0 
-710 -65 -713 0 
921 -92 -389 0 
845 159 -55 0 
-212 906 913 0 
831 528 802 0 
459 -396 743 0 
-988 137 331 0 
-640 863 -760 0 
-951 -425 -275 0 
912 485 987 0 
10 938 -76 0 
175 615 -650 0 
-896 -966 158 0 
844 803 369 0 
-580 525 917 0 
-205 651 -184 0 
-695 -943 406 0 
-247 -103 -110 0 
439 515 -537 0 
237 -907 -397 0 
168 -803 300 0 
-441 -72 785 0 
995 502 -869 0 
617 -713 239 0 
158 -644 106 0 
901 -944 131 0 
564 47 -309 0 
-969 -137 -953 0 
-979 209 812 0 
696 971 -935 0 
982 692 -400 0 
-408 -480 -810 0 
-301 -861 537 0 
626 108 616 0 
933 -683 593 0 
-362 706 -507 0 
984 699 200 0 
715 115 167 0 
112 -103 756 0 
-188 -264 -260 0 
-539 536 163 0 
764 -382 17 0 
269 718 -323 0 
-237 421 -474 0 
-616 -797 -826 0 
39 903 -132 0 
-549 525 -61 0 
-471 148 736 0 
-598 973 -847 0 
882 -819 548 0 
756 -924 402 0 
-446 -894 798 0 
284 -189 -864 0 
-600 87 528 0 
-270 -322 -111 0 
28 -126 288 0 
-815 -523 -258 0 
840 -961 -172 0 
-618 -368 -166 0 
378 375 -472 0 
-561 528 -1 0 
-97 -739 -875 0 
-785 36 -850 0 
103 -762 68 0 
82 369 549 0 
178 481 827 0 
539 -92 -825 0 
690 21 -219 0 
-976 951 971 0 
-833 -416 -328 0 
-863 -956 440 0 
-961 425 959 0 
-224 508 -302 0 
502 198 -87 0 
-519 562 356 0 
-339 969 -900 0 
-759 234 -23 0 
-16 579 855 0 
756 3 838 0 
-506 -311 524 0 
-323 -439 768 0 
-251 -85 -234 0 
937 -781 445 0 
294 163 915 0 
890 190 201 0 
-869 435 -840 0 
222 -444 410 0 
961 353 655 0 
191 -819 -540 0 
-579 160 268 0 
-630 -495 -753 0 
-658 427 -400 0 
-915 732 820 0 
-88 -729 -707 0 
556 548 -517 0 
218 -974 629 0 
-277 364 183 0 
578 216 -495 0 
689 756 810 0 
-503 625 -212 0 
367 392 1 0 
-228 362 489 0 
-671 -818 -395 0 
-443 -247 23 0 
110 217 -831 0 
34 -216 170 0 
569 472 -249 0 
452 -653 329 0 
286 476 160 0 
-47 297 886 0 
501 -998 -169 0 
842 -299 44 0 
-158 644 278 0 
-722 -524 518 0 
831 -71 383 0 
29 -573 426 0 
830 -520 129 0 
-111 -904 -323 0 
-87 -348 506 0 
-26 -762 -95 0 
-251 439 642 0 
-697 242 -220 0 
20 756 872 0 
-678 330 759 0 
-694 792 449 0 
870 275 36 0 
-696 -892 -863 0 
-963 850 577 0 
649 -51 -718 0 
374 -663 377 0 
292 -281 -62 0 
-796 -36 515 0 
-804 -432 -464 0 
-277 135 -778 0 
-976 669 630 0 
919 -205 494 0 
550 -998 86 0 
688 833 -305 0 
-235 385 -280 0 
-410 647 -819 0 
705 567 -25 0 
743 -355 -918 0 
-662 -248 -612 0 
-213 232 753 0 
-740 684 -801 0 
88 -495 -209 0 
-586 -860 787 0 
409 226 521 0 
-85 -804 74 0 
-55 -593 -72 0 
618 -318 -364 0 
244 348 343 0 
411 -76 -758 0 
-594 -260 151 0 
-990 650 373 0 
-900 -653 -531 0 
-498 581 -468 0 
977 758 483 0 
-722 363 -689 0 
-807 -657 385 0 
903 -857 -923 0 
-95 -549 -774 0 
