p cnf 1000 400
x 820 -936 742 0 
x -699 851 -365 0 
x 17 599 -585 0 
x 485 992 237 0 
x -352 -325 338 0 
x 931 -674 -430 0 
x -789 -621 -309 0 
x -326 -961 309 0 
x 598 -969 262 0 
x -147 -170 716 0 
x 47 650 -156 0 
x 260 928 -924 0 
x -373 -10 838 0 
x -894 985 417 0 
x 615 569 523 0 
x -939 666 570 0 
x -970 -44 -418 0 
x -781 -205 -215 0 
x -577 761 41 0 
x -94 853 -381 0 
x -118 -207 -916 0 
x -954 675 967 0 
x -796 580 -818 0 
x 187 144 -243 0 
x -299 960 76 0 
x -189 644 204 0 
x 331 169 577 0 
x 289 -279 739 0 
x 913 -162 624 0 
x -346 -129 286 0 
x -629 -20 -576 0 
x 56 -155 743 0 
x -416 -675 845 0 
x -191 -159 848 0 
x 811 991 657 0 
x 351 961 914 0 
x 792 -822 -988 0 
x 896 -762 924 0 
x 361 339 67 0 
x -698 -140 820 0 
x 301 142 -305 0 
x -447 881 -739 0 
x 118 -233 -473 0 
x -411 -711 -220 0 
x -638 20 -237 0 
x 94 912 -134 0 
x -673 -519 -796 0 
x -115 -871 -477 0 
x 199 -232 -581 0 
x -474 -776 -774 0 
x -262 434 383 0 
x 75 226 -875 0 
x -464 207 -767 0 
x 271 74 740 0 
x -618 -812 -665 0 
x 237 -171 826 0 
x 567 837 -582 0 
x 560 604 -344 0 
x 33 869 606 0 
x -419 -561 30 0 
x 823 -251 359 0 
x 624 -360 792 0 
x -354 -791 659 0 
x -235 -888 -251 0 
x 992 581 -469 0 
x -152 -591 -222 0 
x -378 889 741 0 
x 404 189 949 0 
x 812 145 47 0 
x -120 -14 822 0 
x 624 908 -90 0 
x -628 335 493 0 
x -867 281 -375 0 
x 805 -563 -20 0 
x -427 -332 328 0 
x -716 542 -184 0 
x -254 919 298 0 
x -894 -385 -262 0 
x 566 -535 152 0 
x -134 -42 100 0 
x 471 -320 379 0 
x 204 231 836 0 
x 359 78 -140 0 
x 438 125 444 0 
x -850 206 397 0 
x 25 951 447 0 
x 390 -875 762 0 
x -815 -94 -762 0 
x 661 642 122 0 
x 322 347 230 0 
x 838 300 -119 0 
x 576 -601 306 0 
x -31 -632 454 0 
x -890 110 821 0 
x -816 -984 46 0 
x 398 -656 -191 0 
x -220 -259 -925 0 
x 707 688 -58 0 
x 663 -925 -205 0 
x 451 -923 313 0 
x 168 -462 319 0 
x 694 -873 35 0 
x -807 -366 -726 0 
x 478 205 370 0 
x -573 -868 -475 0 
x -102 -265 -326 0 
x -242 847 921 0 
x 794 594 -906 0 
x 170 -577 241 0 
x 737 -185 648 0 
x -970 -749 -993 0 
x -520 -721 301 0 
x -554 -232 347 0 
x -819 753 -426 0 
x 393 -210 -87 0 
x -654 441 236 0 
x -748 -270 -121 0 
x -298 -94 -537 0 
x 189 -883 752 0 
x 360 457 -397 0 
x -344 539 392 0 
x 665 898 -414 0 
x -39 49 568 0 
x -900 -483 -361 0 
x 403 -529 -261 0 
x -663 816 773 0 
x -267 -378 -453 0 
x 435 882 66 0 
x 968 686 365 0 
x -151 -648 -777 0 
x 924 946 -384 0 
x -456 665 -988 0 
x -343 -804 -950 0 
x -210 -180 817 0 
x 990 649 866 0 
x 363 60 898 0 
x -260 -640 -819 0 
x 61 -353 580 0 
x 474 -776 963 0 
x 120 -754 894 0 
x -655 829 638 0 
x -262 -242 -94 0 
x 39 936 699 0 
x -208 485 807 0 
x 73 -941 358 0 
x -832 -331 503 0 
x 180 -811 -394 0 
x 828 -942 896 0 
x 53 -325 -368 0 
x 694 173 -51 0 
x 480 7 557 0 
x 50 986 -218 0 
x -282 406 890 0 
x -95 104 711 0 
x 7 -216 -988 0 
x 669 -410 -675 0 
x -909 -161 -332 0 
x -141 -96 683 0 
x -923 461 818 0 
x -116 -319 -787 0 
x -263 376 60 0 
x 666 -39 -569 0 
x 201 -181 687 0 
x -49 30 707 0 
x -477 -669 521 0 
x -525 793 366 0 
x 128 819 957 0 
x 164 -71 -703 0 
x -785 544 -856 0 
x -342 -299 -122 0 
x 346 558 -120 0 
x -758 86 -360 0 
x -866 799 262 0 
x 490 -696 127 0 
x 237 -84 -496 0 
x -317 180 143 0 
x 672 814 529 0 
x -747 -655 635 0 
x 592 -307 450 0 
x 485 -177 167 0 
x -133 -998 213 0 
x -508 872 -742 0 
x -370 193 -425 0 
x -340 -202 628 0 
x 794 -286 -864 0 
x -811 -372 796 0 
x 385 -667 776 0 
x 197 -523 232 0 
x -768 283 -59 0 
x -240 15 28 0 
x -800 259 -101 0 
x -938 -777 -944 0 
x -708 686 -408 0 
x 273 -448 -790 0 
x -705 -391 -779 0 
x -976 -416 -766 0 
x 666 -593 -434 0 
x 142 524 -82 0 
x 893 -19 42 0 
x 571 -547 -930 0 
x 653 -991 726 0 
x -733 405 434 0 
x -261 -22 227 0 
x 717 -196 940 0 
x -721 -818 571 0 
x -324 512 30 0 
x -866 -134 -25 0 
x -48 -37 740 0 
x -799 -239 97 0 
x 28 -543 365 0 
x 806 599 668 0 
x 608 114 -187 0 
x -780 -530 -392 0 
x -332 319 878 0 
x -490 -126 262 0 
x 392 -843 -471 0 
x -485 379 194 0 
x -527 -325 -800 0 
x -185 863 720 0 
x -818 -812 -481 0 
x -818 388 809 0 
x 379 591 -29 0 
x 830 641 430 0 
x -241 -563 -613 0 
x -118 712 679 0 
x 349 725 -271 0 
x 772 244 513 0 
x -216 712 251 0 
x -965 352 408 0 
x -856 -685 -750 0 
x 970 -720 -210 0 
x 17 636 260 0 
x 411 -640 -898 0 
x 880 365 470 0 
x -711 -294 40 0 
x 384 860 940 0 
x -476 931 727 0 
x -351 -209 -424 0 
x 222 -563 -149 0 
x 474 200 701 0 
x 49 518 780 0 
x 437 -422 467 0 
x 45 371 -191 0 
x 336 119 158 0 
x 828 596 23 0 
x -776 -616 451 0 
x -971 215 669 0 
x 709 -609 673 0 
x -445 126 811 0 
x 605 -778 -496 0 
x 31 -1000 725 0 
x -355 -414 293 0 
x -883 -367 -846 0 
x -775 -690 712 0 
x -241 -520 -711 0 
x -746 17 -277 0 
x 395 -398 -368 0 
x 85 -435 842 0 
x -341 -273 -565 0 
x -732 -985 -42 0 
x 4 -723 -954 0 
x -322 -88 -19 0 
x -533 987 -462 0 
x 463 675 43 0 
x 238 -106 949 0 
x 120 -936 -46 0 
x -172 -723 346 0 
x -569 -593 690 0 
x 426 375 -164 0 
x 181 500 441 0 
x -894 528 526 0 
x 922 114 868 0 
x -650 -32 270 0 
x -910 -71 713 0 
x 14 913 534 0 
x 6 -544 -901 0 
x -336 647 289 0 
x -225 996 -819 0 
x -914 -501 -181 0 
x 174 -697 571 0 
x -86 861 555 0 
x -292 -919 -547 0 
x -171 601 -20 0 
x 46 682 -706 0 
x 164 -408 -149 0 
x 994 690 -25 0 
x 266 -735 668 0 
x -105 349 -894 0 
x -783 908 -995 0 
x 531 -194 54 0 
x 14 -650 -61 0 
x -372 -348 -490 0 
x -462 -287 -879 0 
x 498 -786 894 0 
x -440 -769 -873 0 
x 905 402 656 0 
x 106 420 -671 0 
x -631 -248 -221 0 
x -463 -240 -459 0 
x -890 -697 -530 0 
x -545 -825 937 0 
x 132 -576 -686 0 
x -323 414 -294 0 
x -728 656 926 0 
x 843 172 704 0 
x 655 -830 893 0 
x 204 521 911 0 
x -792 -95 775 0 
x -124 -289 549 0 
x -17 52 -636 0 
x 24 97 -320 0 
x -810 479 -130 0 
x 95 579 -240 0 
x 249 807 -537 0 
x 747 135 -333 0 
x -940 -823 -26 0 
x -298 -773 -86 0 
x 649 663 -289 0 
x 252 576 -565 0 
x -397 -302 987 0 
x -180 -642 679 0 
x 94 -350 -616 0 
x -209 -136 -216 0 
x 550 321 937 0 
x 315 243 577 0 
x 192 723 -480 0 
x -204 -579 -656 0 
x 149 788 842 0 
x 97 277 -631 0 
x 167 -895 340 0 
x 861 -48 -923 0 
x 496 626 -988 0 
x 201 801 -744 0 
x 288 -22 849 0 
x 602 -646 -636 0 
x -360 841 229 0 
x 955 -723 -501 0 
x 618 -873 -920 0 
x 570 538 -924 0 
x -739 -199 -250 0 
x -502 -781 -540 0 
x 793 -937 -200 0 
x -925 -471 179 0 
x -845 526 -736 0 
x 56 -524 185 0 
x 196 -104 -359 0 
x 604 384 -403 0 
x 866 -515 794 0 
x 161 -963 760 0 
x 32 625 -699 0 
x 915 -840 -242 0 
x 876 -106 -51 0 
x -752 532 -869 0 
x 84 -589 184 0 
x -314 -711 628 0 
x 931 936 602 0 
x 520 227 -289 0 
x -703 -604 -178 0 
x -221 -779 -399 0 
x -867 249 191 0 
x -262 71 -360 0 
x 537 975 -466 0 
x 692 -9 434 0 
x 557 -880 -68 0 
x 2 840 671 0 
x 396 402 -337 0 
x 379 943 535 0 
x 9 598 -976 0 
x -16 376 -585 0 
x 954 -171 -256 0 
x -905 950 -696 0 
x 154 870 -692 0 
x -926 272 37 0 
x -353 -198 -534 0 
x 837 362 261 0 
x 950 353 944 0 
x -444 -397 -858 0 
x 548 -336 857 0 
x 11 -892 753 0 
x 667 639 663 0 
x -539 -821 519 0 
x 409 -375 608 0 
x -489 -536 -106 0 
x -328 942 -130 0 
x 281 -644 716 0 
x -364 298 428 0 
x -302 304 -253 0 
x 745 -72 -631 0 
x 646 -532 673 0 
x 774 -574 -521 0 
x -762 618 -54 0 
x 283 827 -665 0 
x 967 365 -665 0 
x 921 -635 -806 0 
x 126 -483 297 0 
x -848 673 4 0 
x -656 -243 556 0 
x 399 188 -410 0 
x -235 864 -313 0 
x 785 -102 -937 0 
