p cnf 1000 600
x -147 -440 948 0 
x -831 266 -317 0 
x -220 -953 -42 0 
x 538 -120 -98 0 
x -29 594 -559 0 
x 105 632 -437 0 
x -558 329 -70 0 
x -228 -570 44 0 
x -469 -734 -658 0 
x 328 415 686 0 
x -710 -433 276 0 
x -651 -383 -190 0 
x -746 -78 567 0 
x 68 -946 22 0 
x 714 -62 199 0 
x -155 808 -222 0 
x -3 -429 -843 0 
x -29 120 -958 0 
x -727 467 -432 0 
x 924 407 654 0 
x 360 882 515 0 
x -869 -835 655 0 
x -126 862 -584 0 
x -321 575 -110 0 
x -785 195 -674 0 
x -195 637 700 0 
x 843 515 96 0 
x -704 476 -203 0 
x 441 209 435 0 
x -330 -628 704 0 
x -287 -517 799 0 
x 110 671 511 0 
x 290 190 -887 0 
x -569 633 -912 0 
x 95 -475 945 0 
x -432 595 -469 0 
x 535 68 374 0 
x -38 -319 628 0 
x 156 -954 800 0 
x -505 -942 929 0 
x 707 -17 668 0 
x -643 -365 205 0 
x -546 758 879 0 
x -251 11 -520 0 
x 369 211 -793 0 
x -972 -824 637 0 
x -784 -979 -598 0 
x 759 335 -402 0 
x -794 372 -762 0 
x 522 -138 -804 0 
x 214 565 -503 0 
x -920 361 157 0 
x -366 -124 -265 0 
x 343 -968 240 0 
x 16 410 -84 0 
x -855 701 -235 0 
x 128 938 446 0 
x -428 -327 852 0 
x -767 977 942 0 
x -276 -728 172 0 
x 334 822 316 0 
x -899 19 -228 0 
x 328 -892 891 0 
x 710 636 -421 0 
x 321 -423 333 0 
x 729 -914 -34 0 
x -809 426 686 0 
x 793 -3 -484 0 
x -768 -451 410 0 
x 181 936 -649 0 
x 894 105 -345 0 
x -147 668 296 0 
x -218 -23 188 0 
x 509 -833 286 0 
x -706 423 799 0 
x -945 -507 804 0 
x -943 -919 -202 0 
x -846 -324 837 0 
x 588 -121 -658 0 
x -60 -671 -188 0 
x 203 -708 249 0 
x -857 -340 -81 0 
x -309 -306 -318 0 
x 539 -527 711 0 
x -454 -262 668 0 
x 746 -97 -372 0 
x -551 352 -484 0 
x -910 -961 -621 0 
x 41 278 -786 0 
x 913 -209 656 0 
x 165 506 377 0 
x -772 917 692 0 
x -225 625 367 0 
x -804 -670 177 0 
x 434 -665 -255 0 
x -978 -930 -532 0 
x -817 -582 -552 0 
x 876 660 -75 0 
x -546 -965 735 0 
x -954 865 961 0 
x -86 -356 77 0 
x -362 -658 -603 0 
x -330 -802 -669 0 
x -731 -237 426 0 
x -642 -245 -525 0 
x 936 35 -813 0 
x 263 -613 -508 0 
x 488 -991 -735 0 
x 861 357 -609 0 
x -684 386 512 0 
x -190 -538 746 0 
x 309 485 551 0 
x 957 -893 508 0 
x 156 -951 -508 0 
x 950 -202 -440 0 
x -262 -721 402 0 
x 579 -469 -391 0 
x -983 856 -138 0 
x -973 545 -226 0 
x 223 -102 -301 0 
x 596 615 946 0 
x 555 901 -8 0 
x -120 622 -478 0 
x 183 -603 -586 0 
x 762 332 856 0 
x 233 784 379 0 
x -423 77 171 0 
x 843 688 -776 0 
x -605 -632 -275 0 
x 141 116 461 0 
x 511 -30 -766 0 
x 888 -295 999 0 
x 161 27 -778 0 
x 360 -125 -247 0 
x 575 -311 242 0 
x 561 262 -399 0 
x 921 -655 536 0 
x 182 -646 -999 0 
x 17 10 859 0 
x 248 547 502 0 
x 189 -100 -960 0 
x 959 833 396 0 
x 556 -612 -956 0 
x 170 271 600 0 
x 852 736 810 0 
x 931 -646 472 0 
x 1000 -277 803 0 
x -622 -120 -729 0 
x -832 -507 -673 0 
x 790 -78 -554 0 
x -761 120 507 0 
x -271 197 939 0 
x 83 -164 -806 0 
x -269 17 129 0 
x 804 -523 326 0 
x -275 -704 195 0 
x -624 -185 672 0 
x -895 380 -798 0 
x -803 -109 -940 0 
x 223 -631 294 0 
x -689 621 671 0 
x -115 -93 -308 0 
x 386 894 691 0 
x 750 911 -136 0 
x -913 404 584 0 
x 926 122 955 0 
x 373 629 -569 0 
x -720 262 404 0 
x 759 -615 669 0 
x 193 532 -939 0 
x -273 907 -22 0 
x -200 -416 886 0 
x 890 -388 -562 0 
x 34 671 -897 0 
x 525 -758 -780 0 
x 508 244 795 0 
x 335 -31 833 0 
x 255 -25 371 0 
x -231 -429 613 0 
x -8 -650 -667 0 
x -733 -725 57 0 
x -867 -970 498 0 
x 85 656 -684 0 
x -823 -638 -590 0 
x 485 781 -538 0 
x -614 926 -963 0 
x -931 -529 582 0 
x 331 385 -197 0 
x -693 634 -604 0 
x 335 377 -35 0 
x -404 -968 -325 0 
x -894 -31 489 0 
