p cnf 1000 700
x -123 -483 -225 0 
x 91 191 -469 0 
x 878 637 -258 0 
x 557 -921 -781 0 
x -907 -47 -966 0 
x -200 -296 348 0 
x 738 423 -641 0 
x -291 597 782 0 
x 285 794 439 0 
x 972 -153 679 0 
x -96 229 -876 0 
x -349 195 -229 0 
x 560 -40 835 0 
x 282 751 -926 0 
x 370 723 946 0 
x 276 14 -505 0 
x 489 997 760 0 
x 662 851 164 0 
x -229 -736 175 0 
x 167 166 508 0 
x 671 268 669 0 
x 456 -563 995 0 
x 245 455 -675 0 
x 210 766 263 0 
x -597 397 332 0 
x -923 90 -310 0 
x -351 987 -904 0 
x 134 295 -309 0 
x -973 301 -846 0 
x -261 230 810 0 
x -512 -909 -485 0 
x -146 -94 -30 0 
x 629 521 978 0 
x 412 -491 -984 0 
x 569 292 -2 0 
x 386 785 -84 0 
x -231 482 -60 0 
x 421 917 -607 0 
x -813 -200 -523 0 
x 614 495 -438 0 
x -590 -953 70 0 
x 419 -500 -411 0 
x 21 639 593 0 
x -856 798 -169 0 
x -751 -253 806 0 
x 969 -78 801 0 
x 980 -261 -630 0 
x 782 -877 935 0 
x -825 -901 -886 0 
x 564 -251 -879 0 
x -363 -328 824 0 
x -71 -464 -805 0 
x 831 4 110 0 
x 446 -990 571 0 
x -197 951 612 0 
x -194 518 28 0 
x 941 308 820 0 
x 956 715 518 0 
x -391 855 398 0 
x 22 -235 131 0 
x -479 789 -919 0 
x -700 503 540 0 
x 926 498 855 0 
x -778 619 521 0 
x -474 12 452 0 
x -675 115 547 0 
x -27 -884 -942 0 
x -774 -834 36 0 
x -854 275 -75 0 
x 600 -290 -238 0 
x 222 -778 -504 0 
x 254 -865 454 0 
x -767 -291 25 0 
x -571 -181 -552 0 
x 265 -629 -167 0 
x -709 -898 -722 0 
x 677 551 -203 0 
x 561 444 -595 0 
x 812 886 -635 0 
x -298 -221 -325 0 
x 644 -33 -186 0 
x 762 -402 -79 0 
x -303 -423 259 0 
x -883 220 809 0 
x 558 -609 -931 0 
x -252 210 -708 0 
x 860 -938 -713 0 
x 704 449 48 0 
x 110 -369 881 0 
x 358 631 -347 0 
x -771 66 307 0 
x 252 902 -56 0 
x 792 -213 21 0 
x -129 830 -602 0 
x -899 -155 393 0 
x -627 -237 252 0 
x 838 432 -726 0 
x -215 -331 -585 0 
x 847 -671 -242 0 
x -475 -912 -457 0 
x -124 -75 -234 0 
x -865 -207 -369 0 
x -561 889 -517 0 
x -819 805 -164 0 
x -96 -31 -287 0 
x -44 -88 -296 0 
x -321 456 872 0 
x -700 -884 870 0 
x 341 -625 645 0 
x -903 185 222 0 
x -651 194 -672 0 
x -828 -318 -502 0 
x -843 593 115 0 
x -318 -700 475 0 
x -810 416 672 0 
x -36 -461 -181 0 
x 317 -137 221 0 
x -963 582 705 0 
x -137 -404 553 0 
x 116 -702 -291 0 
x 944 969 -399 0 
x 465 -965 -593 0 
x -92 220 -55 0 
x 327 -618 516 0 
x -361 -895 372 0 
x 408 -167 49 0 
x 316 423 231 0 
x 56 -825 -669 0 
x -588 -888 -948 0 
x -76 -515 456 0 
x -974 -725 687 0 
x -158 -332 -155 0 
x 530 -137 -80 0 
x -131 544 298 0 
x 316 -991 -99 0 
x 224 974 -964 0 
x 527 344 814 0 
x 74 694 342 0 
x -980 172 -29 0 
x 585 -968 407 0 
x 457 903 -622 0 
x -403 184 -815 0 
x -887 -918 427 0 
x -259 -629 772 0 
x -995 -781 684 0 
x 367 -417 320 0 
x 16 -229 593 0 
x 595 775 -162 0 
x -138 -621 812 0 
x 732 -630 -585 0 
x -216 -177 703 0 
x 563 768 200 0 
x 327 900 -3 0 
x 451 -899 306 0 
x 853 852 122 0 
x 235 -162 -205 0 
x 199 780 -649 0 
x -255 -444 -675 0 
x 361 553 -898 0 
x -943 -835 -468 0 
x 864 -406 946 0 
x -563 -35 -661 0 
x 641 943 536 0 
x -356 -581 615 0 
x 269 879 301 0 
x 55 602 -759 0 
x 671 111 514 0 
x -576 520 644 0 
x -108 -754 887 0 
x -266 629 -393 0 
x -193 305 199 0 
x -833 816 373 0 
x 336 841 -655 0 
x -323 719 695 0 
x -234 783 471 0 
x -737 303 794 0 
x 538 -465 -267 0 
x -721 -108 -979 0 
x 180 610 486 0 
x -617 304 556 0 
x 465 -820 349 0 
x -869 908 -24 0 
x -183 727 259 0 
x 307 966 -5 0 
x -611 -118 -645 0 
x 965 326 659 0 
x -765 -13 860 0 
x -822 -863 200 0 
x 154 -588 -633 0 
x -119 -510 136 0 
x 768 416 950 0 
x -487 179 -346 0 
x -615 -28 938 0 
x -880 -906 782 0 
x -7 705 -398 0 
x -159 -663 -78 0 
x -208 -514 204 0 
x 732 -309 579 0 
x -466 685 396 0 
x -652 870 -793 0 
x 289 499 167 0 
x 132 -165 882 0 
x 559 157 114 0 
x 491 -601 549 0 
x 983 803 759 0 
x 345 359 -381 0 
x 974 664 61 0 
x -611 -823 136 0 
x 335 -605 717 0 
x 713 -706 994 0 
x -430 646 -400 0 
x -995 -108 612 0 
x -716 -650 132 0 
x 960 700 -558 0 
x -445 -352 427 0 
x 575 354 -687 0 
x 168 -135 -837 0 
x 850 513 142 0 
x 220 154 -258 0 
x 745 -826 -644 0 
x -609 -623 790 0 
x -243 561 -947 0 
x 724 -901 -204 0 
x 746 -164 583 0 
x -377 -741 920 0 
x 214 358 -480 0 
x 377 470 -338 0 
x 964 -677 940 0 
x -287 -629 -453 0 
x 323 947 -870 0 
x -445 -183 -720 0 
x -789 -656 356 0 
x -907 -690 -398 0 
x -643 -52 65 0 
x -56 -691 878 0 
x -264 214 -558 0 
x 894 -295 -366 0 
x -525 557 363 0 
x -119 856 -403 0 
x 68 118 416 0 
x 549 -82 -923 0 
x -683 958 76 0 
x 427 319 -256 0 
x -30 766 446 0 
x 149 582 -310 0 
x 925 -758 314 0 
x 238 -379 673 0 
x -852 318 262 0 
x 730 373 678 0 
x 698 173 330 0 
x -605 -890 -436 0 
x -582 -154 144 0 
x -154 747 159 0 
x -254 998 34 0 
x 77 -36 -209 0 
x -439 -519 851 0 
x 788 -357 808 0 
x -387 441 639 0 
x 623 -884 -584 0 
x -717 773 616 0 
x -43 337 760 0 
x 557 -678 822 0 
x 205 840 -822 0 
x -460 431 121 0 
x -812 -548 212 0 
x 160 -100 -174 0 
x 556 612 5 0 
x 664 -434 491 0 
x -416 -563 -509 0 
x 243 893 -427 0 
x -577 576 543 0 
x 15 -930 584 0 
x -285 -949 826 0 
x 650 -373 858 0 
x 432 -288 -654 0 
x 983 285 -91 0 
x -580 989 -879 0 
x -931 -545 417 0 
x -281 960 732 0 
x 3 -166 -820 0 
x -850 -101 -191 0 
x 424 534 -909 0 
x -847 -807 -673 0 
x 473 447 129 0 
x -787 -139 -638 0 
x 754 -513 -515 0 
x -348 78 968 0 
x 323 474 -278 0 
x -251 -261 -935 0 
x -62 -674 -681 0 
x -937 -280 -584 0 
x 952 270 -597 0 
x -9 -597 -218 0 
x 130 352 45 0 
x -995 -422 251 0 
x 226 204 544 0 
x 720 -468 -778 0 
x -421 -913 23 0 
x 393 852 187 0 
x -137 763 -174 0 
x 56 -539 980 0 
x 796 -863 -832 0 
x -922 241 -299 0 
x 429 -841 300 0 
x 106 946 -446 0 
x -304 509 -122 0 
x 179 246 -528 0 
x -576 908 -469 0 
x -832 -906 957 0 
x -488 720 -960 0 
x -363 -702 -921 0 
x -184 837 576 0 
x -926 850 -486 0 
x 887 592 -530 0 
x 614 51 506 0 
x 609 -914 884 0 
x 53 323 944 0 
x -266 584 -83 0 
x -259 766 -46 0 
x -729 -58 367 0 
x 936 345 -120 0 
x 272 452 968 0 
x -524 -600 939 0 
x 500 772 -489 0 
x 972 -537 -593 0 
x 842 -463 -412 0 
x 147 864 -965 0 
x 331 -439 497 0 
x 637 -989 312 0 
x -623 817 66 0 
x -633 919 -470 0 
x -538 -137 569 0 
x -560 -373 -577 0 
x -695 -954 -124 0 
x -71 807 -898 0 
x -951 739 -964 0 
x -534 95 -679 0 
x -42 921 586 0 
x -915 601 462 0 
x 340 -305 407 0 
x -421 -905 -664 0 
x -818 738 -9 0 
x 32 -61 89 0 
x -179 887 -360 0 
x -247 778 545 0 
x -943 -413 -573 0 
x 696 57 997 0 
x -88 428 598 0 
x 904 617 423 0 
x -694 309 -28 0 
x -216 794 748 0 
x 374 997 -686 0 
x -975 850 318 0 
x 272 387 250 0 
x 150 -226 -892 0 
x 665 -817 549 0 
x -170 365 -376 0 
x -867 306 878 0 
x -681 69 446 0 
x 440 -121 -509 0 
x -145 977 249 0 
x -383 -707 819 0 
x 753 -674 -700 0 
x -180 -395 620 0 
x 931 -647 -223 0 
x 553 -498 344 0 
x -452 462 -914 0 
x 807 26 510 0 
x -4 -229 -222 0 
x -299 -162 -360 0 
x -315 -20 -413 0 
x 918 -525 3 0 
x -114 799 -861 0 
x 499 694 627 0 
x -341 735 -648 0 
x -936 -370 -459 0 
x 949 292 -714 0 
x 357 88 -25 0 
x -421 -227 -494 0 
x 502 983 -963 0 
x -183 206 337 0 
x 693 -25 -882 0 
x 186 999 -907 0 
x 800 632 -164 0 
x 417 205 18 0 
x 805 -568 266 0 
x -745 -223 -3 0 
x -723 -718 -360 0 
x -998 -293 564 0 
x -529 376 -816 0 
x 571 -730 -907 0 
x -624 -679 261 0 
x 248 -214 -444 0 
x -306 -970 557 0 
x -181 229 -28 0 
x 497 -566 -24 0 
x 408 655 356 0 
x -268 -893 349 0 
x -743 -297 24 0 
x -461 -22 655 0 
x -157 -365 -907 0 
x -69 -213 -840 0 
x -957 435 -828 0 
x -193 -44 -292 0 
x -241 86 -390 0 
x 981 -169 -170 0 
x 814 -349 232 0 
x 746 -737 790 0 
x 464 -7 -858 0 
x -483 -414 819 0 
x -681 -685 -389 0 
x 251 -614 -304 0 
x -759 -9 -147 0 
x -982 -981 158 0 
x 266 18 -824 0 
x 161 651 433 0 
x -440 246 795 0 
x -53 588 -466 0 
x -317 -62 140 0 
x -839 321 -477 0 
x 486 -534 -259 0 
x 529 -91 293 0 
x 753 -394 -870 0 
x 844 261 -367 0 
x 563 878 -727 0 
x 882 395 367 0 
x 883 495 -614 0 
x 96 -821 -861 0 
x 969 -863 434 0 
x -817 613 117 0 
x -709 -671 53 0 
x 889 923 243 0 
x 620 -308 -601 0 
x -951 -847 -435 0 
x 350 -626 -93 0 
x -639 -730 429 0 
x 481 858 -8 0 
x -924 -699 790 0 
x -804 668 678 0 
x -206 978 678 0 
x 197 461 206 0 
x -894 -525 -1 0 
x 103 -465 -511 0 
x 440 -969 -508 0 
x -34 836 -58 0 
x -152 161 451 0 
x 242 -283 660 0 
x -928 525 592 0 
x -873 707 -276 0 
x -269 282 57 0 
x 858 -503 616 0 
x 2 431 970 0 
x 209 750 350 0 
x 151 114 793 0 
x 829 -15 472 0 
x -541 -481 777 0 
x 919 329 908 0 
x 200 -985 955 0 
x -306 -720 -336 0 
x -105 325 -250 0 
x -270 -699 877 0 
x 549 501 -757 0 
x 348 535 -580 0 
x -55 401 610 0 
x 355 -547 933 0 
x -58 396 -457 0 
x 88 -541 -845 0 
x -271 274 -29 0 
x -965 -452 154 0 
x 60 198 254 0 
x -538 -955 288 0 
x -30 637 508 0 
x -580 -540 459 0 
x 593 -248 -327 0 
x 875 -575 -337 0 
x 352 339 -459 0 
x 671 481 -528 0 
x -222 -162 745 0 
x 903 -914 -378 0 
x 765 998 132 0 
x -373 22 254 0 
x 363 -531 879 0 
x -143 -813 957 0 
x -365 267 -194 0 
x 543 -180 972 0 
x -901 237 -16 0 
x 793 866 -447 0 
x 773 11 57 0 
x -382 682 63 0 
x -235 612 555 0 
x -621 -745 891 0 
x 740 812 -274 0 
x 381 -447 598 0 
x 537 359 12 0 
x -504 -264 568 0 
x -866 -513 -937 0 
x -345 363 644 0 
x 984 -722 924 0 
x 959 637 16 0 
x -799 -948 698 0 
x 688 820 -513 0 
x 412 566 460 0 
x 966 550 627 0 
x 247 -43 8 0 
x -760 521 548 0 
x 582 982 -664 0 
x 908 -932 -601 0 
x -296 679 -623 0 
x 166 577 330 0 
x 713 852 408 0 
x -810 -75 -975 0 
x 544 381 967 0 
x -514 -54 805 0 
x -575 572 181 0 
x 918 275 -536 0 
x 122 508 324 0 
x 895 -529 -978 0 
x 234 603 727 0 
x 32 850 -359 0 
x -727 313 498 0 
x -588 790 -568 0 
x 792 -20 -718 0 
x -909 205 -758 0 
x 404 -299 -573 0 
x -888 -350 351 0 
x -110 355 321 0 
x -308 -864 -513 0 
x -840 715 -910 0 
x 324 373 226 0 
x 356 957 215 0 
x 952 935 -320 0 
x -544 -891 -688 0 
x -206 589 96 0 
x 293 310 -899 0 
x -928 -358 322 0 
x 320 -44 -489 0 
x 505 -474 -785 0 
x -694 -376 842 0 
x 961 -102 -593 0 
x 318 -477 -294 0 
x -941 -488 -496 0 
x 524 823 -70 0 
x -529 266 -630 0 
x 110 875 480 0 
