p cnf 1000 200
x -445 963 830 0 
x 718 582 -319 0 
x -961 601 892 0 
x -231 -978 153 0 
x 461 -572 645 0 
x -825 819 -893 0 
x 873 -459 938 0 
x 924 914 -324 0 
x 987 913 335 0 
x 246 -772 130 0 
x 833 -194 635 0 
x 956 993 609 0 
x 494 150 -196 0 
x -560 -654 -775 0 
x 154 682 254 0 
x -45 -857 683 0 
x -27 484 573 0 
x 304 -792 629 0 
x 136 -307 -928 0 
x 967 704 -468 0 
x 342 845 -378 0 
x 940 -303 -518 0 
x 850 -55 -256 0 
x 222 -737 514 0 
x 494 -760 397 0 
x 320 607 185 0 
x 392 -787 739 0 
x -248 -278 -84 0 
x 673 894 -777 0 
x 766 35 -531 0 
x 788 -747 668 0 
x -66 115 348 0 
x 39 635 -700 0 
x 147 788 260 0 
x 335 -475 483 0 
x 790 -695 -161 0 
x -619 685 757 0 
x 679 -904 -129 0 
x -431 294 -608 0 
x 660 273 -986 0 
x -949 -128 -147 0 
x 492 362 576 0 
x -12 25 -53 0 
x 776 562 302 0 
x 21 -62 767 0 
x 914 -117 503 0 
x 512 999 -494 0 
x 557 -850 410 0 
x -320 812 -406 0 
x -423 179 359 0 
x 37 743 -492 0 
x -106 -102 -812 0 
x 885 106 968 0 
x 126 575 435 0 
x 799 345 -704 0 
x -819 -357 342 0 
x 660 616 551 0 
x 693 -755 -728 0 
x 46 -331 -419 0 
x 114 -303 995 0 
x 455 -277 683 0 
x 962 -203 988 0 
x 67 234 381 0 
x 555 711 -591 0 
x 882 -185 559 0 
x 921 -855 -646 0 
x -240 -474 72 0 
x 441 506 -731 0 
x 838 277 971 0 
x -687 135 404 0 
x -104 697 -179 0 
x 237 500 715 0 
x 72 891 138 0 
x 273 -274 811 0 
x -950 231 240 0 
x -872 -513 -549 0 
x 249 153 786 0 
x -608 -229 -544 0 
x -864 -661 621 0 
x 911 291 -326 0 
x 529 -411 -678 0 
x -501 -176 -129 0 
x 186 -155 529 0 
x -867 449 -803 0 
x -67 36 -722 0 
x 524 172 841 0 
x -590 -80 -676 0 
x -933 -869 115 0 
x 383 -16 316 0 
x 391 426 830 0 
x 795 -748 49 0 
x 728 324 593 0 
x 101 722 -148 0 
x 568 954 -265 0 
x -33 941 -888 0 
x 157 945 -46 0 
x -550 216 805 0 
x -33 -895 623 0 
x 987 -478 -362 0 
x -823 646 -147 0 
x -187 445 706 0 
x 293 749 -865 0 
x 755 -472 1 0 
x 999 -783 900 0 
x 163 660 918 0 
x 584 318 -296 0 
x -704 185 476 0 
x -475 -645 879 0 
x -70 216 355 0 
x -143 313 -749 0 
x 287 661 -805 0 
x 113 58 -328 0 
x 272 595 -704 0 
x -554 -158 934 0 
x 40 158 865 0 
x 12 305 682 0 
x -692 231 319 0 
x 382 -451 -462 0 
x 349 -713 -983 0 
x -857 -837 -216 0 
x 362 185 897 0 
x 984 -648 34 0 
x 27 752 -78 0 
x -600 -803 -882 0 
x 314 -81 -375 0 
x 194 837 573 0 
x -254 535 -478 0 
x -486 428 -21 0 
x 479 -764 559 0 
x -452 -107 -418 0 
x -910 -751 -541 0 
x -631 -666 696 0 
x -792 -255 -46 0 
x -570 -709 -86 0 
x 984 751 -942 0 
x 190 215 780 0 
x 310 690 489 0 
x 246 868 -806 0 
x 218 961 -561 0 
x -996 -413 -437 0 
x -376 -214 -182 0 
x -11 -225 -143 0 
x -351 509 -423 0 
x -846 -837 622 0 
x 510 710 -924 0 
x -605 -688 -231 0 
x -773 -291 -359 0 
x -404 383 -63 0 
x -188 -832 -737 0 
x 993 -258 -436 0 
x -561 871 906 0 
x 82 -738 -338 0 
x 864 958 -311 0 
x -304 -770 -710 0 
x -565 727 -300 0 
x -753 -957 -679 0 
x 676 -292 -968 0 
x 850 -25 -908 0 
x -560 -234 -544 0 
x -767 732 -234 0 
x 516 -197 612 0 
x 446 -99 -165 0 
x -247 992 634 0 
x 882 737 -517 0 
x 691 738 998 0 
x 166 -692 -794 0 
x 901 775 711 0 
x -506 79 371 0 
x 274 -790 89 0 
x 758 -773 -410 0 
x -428 -342 -419 0 
x -923 717 476 0 
x 508 423 -297 0 
x 876 -352 -925 0 
x -724 92 -155 0 
x -30 -215 -459 0 
x 947 811 153 0 
x -251 -217 -275 0 
x 817 293 185 0 
x 159 90 642 0 
x 183 340 739 0 
x -548 128 -877 0 
x 697 -383 199 0 
x 259 -826 318 0 
x 733 645 429 0 
x -846 -146 203 0 
x -565 -875 70 0 
x 921 107 -920 0 
x -578 516 259 0 
x 590 -936 -353 0 
x -649 26 -746 0 
x -888 -246 -247 0 
x 430 220 -829 0 
x 536 827 -311 0 
x -562 -599 -71 0 
x -519 671 -333 0 
x -871 596 222 0 
x 370 847 -618 0 
x 399 -99 400 0 
x 657 937 -651 0 
