p cnf 1000 700
x 265 345 -765 0 
x 262 454 920 0 
x -914 -193 -839 0 
x 26 858 158 0 
x 285 -765 389 0 
x -81 -335 -404 0 
x 726 -585 507 0 
x -247 57 209 0 
x 142 846 -807 0 
x 521 22 -367 0 
x -934 -680 -598 0 
x 10 358 -965 0 
x -437 -583 766 0 
x -96 814 -130 0 
x -360 685 167 0 
x -400 -239 -361 0 
x 163 -863 -324 0 
x -943 -156 -90 0 
x -929 -439 -757 0 
x 825 962 623 0 
x -116 -997 -606 0 
x -11 808 -920 0 
x 512 -10 -437 0 
x 730 -910 -692 0 
x -486 -768 485 0 
x 940 128 638 0 
x -886 -624 940 0 
x 606 -206 -225 0 
x -844 -474 -355 0 
x 554 -397 750 0 
x -32 527 541 0 
x 150 -883 -59 0 
x -706 -443 23 0 
x -503 869 -314 0 
x -723 144 689 0 
x 298 190 -552 0 
x -631 283 940 0 
x 513 248 -439 0 
x 463 989 12 0 
x 130 658 943 0 
x 38 609 715 0 
x 481 798 93 0 
x -708 -227 -673 0 
x 575 -445 -703 0 
x 456 844 753 0 
x -601 526 -998 0 
x -84 -18 416 0 
x -1000 -420 -883 0 
x -808 603 554 0 
x 300 -654 -309 0 
x -491 -375 -302 0 
x 228 756 282 0 
x -922 639 925 0 
x -181 -4 168 0 
x 146 922 584 0 
x 343 727 589 0 
x -916 833 -323 0 
x 266 -328 -850 0 
x 364 -760 -29 0 
x -834 -148 -668 0 
x 380 -743 861 0 
x -435 649 606 0 
x 117 -811 737 0 
x -553 -230 53 0 
x 612 -943 554 0 
x -718 -155 857 0 
x -795 -958 -137 0 
x -358 806 395 0 
x 963 174 950 0 
x -112 884 453 0 
x -190 -78 323 0 
x 892 885 -103 0 
x -31 -736 -981 0 
x -11 472 -587 0 
x 879 197 -811 0 
x -277 84 -231 0 
x 756 302 548 0 
x 327 -723 722 0 
x -95 -408 64 0 
x 482 430 587 0 
x -586 718 185 0 
x 403 857 -809 0 
x -593 -168 -18 0 
x 409 -429 -406 0 
x 370 180 97 0 
x -521 -229 -102 0 
x 887 -319 382 0 
x 473 815 -894 0 
x -207 852 539 0 
x -595 183 321 0 
x -435 -936 857 0 
x 586 147 19 0 
x 634 -82 -578 0 
x -131 -31 -884 0 
x 36 33 -408 0 
x -557 317 885 0 
x -402 -154 354 0 
x -185 29 -46 0 
x 45 766 -34 0 
x 3 -698 553 0 
x -782 22 999 0 
x 199 -379 -185 0 
x 276 -578 740 0 
x 125 -838 485 0 
x 562 281 69 0 
x 734 923 -571 0 
x -213 985 -75 0 
x -16 45 -385 0 
x 69 650 575 0 
x 451 736 -497 0 
x -378 429 -646 0 
x 298 645 -358 0 
x -171 -182 459 0 
x 348 -770 -722 0 
x 722 43 -112 0 
x 408 668 174 0 
x -439 734 -376 0 
x 718 125 -488 0 
x 34 -217 -583 0 
x -746 846 767 0 
x 364 -586 924 0 
x 574 -656 -438 0 
x -466 262 325 0 
x 581 -206 -852 0 
x 454 449 -42 0 
x 89 197 164 0 
x -827 -338 980 0 
x 894 -614 -146 0 
x -628 898 -701 0 
x -49 -251 606 0 
x 162 -927 -758 0 
x -823 838 807 0 
x 845 718 -549 0 
x -908 126 -93 0 
x -527 -445 173 0 
x -33 -688 -157 0 
x -867 -381 190 0 
x 312 552 354 0 
x -561 -94 556 0 
x 150 -84 384 0 
x 706 -780 -731 0 
x -337 -320 80 0 
x -107 373 -750 0 
x -25 -859 624 0 
x 177 -548 963 0 
x -929 -192 -230 0 
x 472 -808 398 0 
x 464 404 438 0 
x 653 835 -265 0 
x 410 -584 -514 0 
x -44 -570 -481 0 
x 274 539 -232 0 
x 784 323 254 0 
x -405 -246 -137 0 
x 856 -406 -322 0 
x 39 -358 51 0 
x -419 862 413 0 
x -918 233 704 0 
x 766 -442 186 0 
x -890 -647 309 0 
x -881 865 899 0 
x -410 -552 545 0 
x -393 -709 839 0 
x 934 383 -763 0 
x 344 463 -379 0 
x -585 -713 123 0 
x 614 -731 966 0 
x 461 236 272 0 
x 301 -485 -792 0 
x 8 245 42 0 
x 54 486 -805 0 
x 392 76 -460 0 
x -795 -44 825 0 
x -88 585 609 0 
x -41 -565 451 0 
x 437 653 -556 0 
x 743 241 -291 0 
x -384 579 28 0 
x -640 -223 -157 0 
x -174 -865 464 0 
x 617 867 -414 0 
x -846 -350 905 0 
x -344 214 -475 0 
x 970 -760 118 0 
x 162 -157 770 0 
x -195 747 -159 0 
x -530 829 -655 0 
x -72 -440 -844 0 
