p cnf 1000 500
x -455 -754 -255 0 
x 801 -532 465 0 
x 198 461 -133 0 
x 423 311 -27 0 
x 881 -989 765 0 
x 694 876 -248 0 
x -906 202 -601 0 
x -679 99 459 0 
x 74 532 626 0 
x 684 183 -257 0 
x 326 922 286 0 
x 262 -381 123 0 
x -972 867 883 0 
x 267 -261 -392 0 
x -116 812 560 0 
x -821 438 -457 0 
x 10 242 -357 0 
x -593 986 810 0 
x 421 -100 925 0 
x -905 -477 -769 0 
x 831 882 385 0 
x -480 9 -880 0 
x 181 509 455 0 
x 698 -170 -470 0 
x -605 -169 -51 0 
x 794 -36 312 0 
x 242 -446 -605 0 
x 767 -587 -214 0 
x 649 256 866 0 
x -178 933 240 0 
x 941 307 -210 0 
x 889 -421 -641 0 
x -488 67 885 0 
x 982 -577 -469 0 
x 551 -651 494 0 
x 828 -239 -228 0 
x 842 48 -238 0 
x -550 -998 244 0 
x 563 -35 -631 0 
x 52 -5 124 0 
x 641 -912 165 0 
x 319 120 948 0 
x -901 482 216 0 
x -449 46 400 0 
x 758 44 -234 0 
x 305 970 355 0 
x 701 561 884 0 
x 531 -695 -635 0 
x -247 -943 274 0 
x 847 -264 -471 0 
x 719 661 -581 0 
x 263 -221 138 0 
x -586 462 -428 0 
x -176 -966 -65 0 
x 701 -718 3 0 
x -680 40 -217 0 
x -94 -272 -47 0 
x 889 -739 711 0 
x -972 -110 -367 0 
x -330 -333 474 0 
x -596 -620 -343 0 
x -709 925 773 0 
x -554 -990 -235 0 
x -496 449 -54 0 
x 809 870 -375 0 
x -721 -522 968 0 
x -584 -825 276 0 
x 570 -403 -377 0 
x -348 145 587 0 
x -803 -260 -53 0 
x -150 -181 953 0 
x -387 364 -489 0 
x 90 742 476 0 
x -17 887 -286 0 
x -15 -134 952 0 
x -139 958 -446 0 
x 264 -11 -840 0 
x 171 820 -927 0 
x -660 -934 580 0 
x 526 252 -600 0 
x 619 194 122 0 
x -726 493 207 0 
x 410 -671 300 0 
x -751 723 991 0 
x -652 946 977 0 
x 308 172 866 0 
x 964 334 833 0 
x -667 462 -53 0 
x -69 733 341 0 
x 150 726 528 0 
x 168 484 966 0 
x 37 -429 -864 0 
x 787 -640 975 0 
x -341 -8 -129 0 
x -250 -738 405 0 
x -160 -584 -489 0 
x 140 867 -163 0 
x -296 -679 -830 0 
x -456 844 174 0 
x 463 -296 -336 0 
x -439 -483 -882 0 
x 901 521 -707 0 
x 699 919 -931 0 
x -962 744 947 0 
x -2 860 767 0 
x 225 -139 -273 0 
x 992 -993 659 0 
x 67 580 -416 0 
x -984 875 -72 0 
x -658 951 352 0 
x -653 703 583 0 
