p cnf 1000 500
x -640 54 366 0 
x -167 916 896 0 
x 10 -18 -517 0 
x 841 -679 -724 0 
x -816 -335 646 0 
x 777 -805 465 0 
x -454 91 890 0 
x 196 284 817 0 
x 399 -188 -120 0 
x -918 -369 485 0 
x -472 -270 -955 0 
x 633 -856 323 0 
x -986 -715 311 0 
x -721 -48 -360 0 
x -501 725 -718 0 
x 993 -769 -484 0 
x 969 -72 861 0 
x -220 835 -679 0 
x -174 -711 -913 0 
x -628 746 944 0 
x -368 268 -137 0 
x -230 83 -149 0 
x 46 -246 102 0 
x -49 -334 109 0 
x 372 -837 811 0 
x -36 90 540 0 
x -668 -542 -607 0 
x -438 772 157 0 
x 517 -312 -199 0 
x -340 -112 -162 0 
x -235 -448 340 0 
x -737 -846 -154 0 
x 554 450 -493 0 
x 693 -618 663 0 
x -857 216 665 0 
x 303 -947 -364 0 
x 770 -350 772 0 
x 432 714 -356 0 
x 987 381 -213 0 
x -713 -141 -62 0 
x -718 -955 -432 0 
x -358 -838 -445 0 
x 974 74 -772 0 
x 767 -85 692 0 
x -262 652 490 0 
x -718 211 651 0 
x 407 -800 -130 0 
x 994 103 289 0 
x -497 -164 43 0 
x 430 -47 661 0 
x -157 120 221 0 
x -93 393 -980 0 
x -449 -666 271 0 
x 35 370 -182 0 
x 610 -614 255 0 
x 487 434 -798 0 
x 343 172 -333 0 
x 104 -878 124 0 
x -604 -388 -242 0 
x -131 731 670 0 
x 439 -211 -766 0 
x -608 198 609 0 
x -471 -739 -821 0 
x 761 671 -420 0 
x -931 -443 -866 0 
x -614 -656 679 0 
x 777 285 -988 0 
x 266 884 -387 0 
x -784 574 -109 0 
x 4 -272 -793 0 
x 319 -616 404 0 
x -333 -308 427 0 
x 796 -698 -436 0 
x 311 -882 304 0 
x -799 600 -270 0 
x -865 29 -382 0 
x -231 -670 -387 0 
x -581 614 993 0 
x -63 223 729 0 
x 36 763 -997 0 
x -460 -750 -363 0 
x -625 -467 -43 0 
x 592 -381 -264 0 
x 682 617 -118 0 
x -242 -250 -459 0 
x -210 -847 998 0 
x -576 913 477 0 
x -828 316 -32 0 
x 834 170 655 0 
x -156 605 -287 0 
x -160 -755 -185 0 
x 695 -56 -590 0 
x -568 317 -287 0 
x 328 219 -724 0 
x 981 367 -480 0 
x 984 884 204 0 
x 758 -378 848 0 
x -186 431 -222 0 
x 37 -245 -174 0 
x 697 -388 -827 0 
x 820 805 -787 0 
x 524 793 122 0 
x -28 -581 18 0 
x 67 -235 758 0 
x 578 32 514 0 
x -662 563 -304 0 
x 461 650 -250 0 
x 428 670 -825 0 
x 320 -560 -198 0 
x -461 376 -430 0 
x -46 -146 -561 0 
x -261 -101 592 0 
x 227 -180 203 0 
x -721 -667 -291 0 
x -405 619 -253 0 
x 341 197 -926 0 
x 698 870 994 0 
x -955 -596 59 0 
x -904 -123 -623 0 
x 319 811 -42 0 
x -688 -564 -306 0 
x 715 -743 258 0 
x -677 435 150 0 
x -800 674 -944 0 
x -884 -903 -202 0 
x -11 235 -852 0 
x -851 593 591 0 
x -556 199 70 0 
x 606 -879 -828 0 
x -784 862 88 0 
x -266 -151 908 0 
x 162 867 -12 0 
x -876 -64 292 0 
x -524 -143 345 0 
x 305 -989 890 0 
x 486 -867 816 0 
x -779 -945 478 0 
x 79 -104 -100 0 
x -224 696 805 0 
x -102 233 633 0 
x -286 -928 918 0 
x 443 -806 309 0 
x -74 591 904 0 
x -137 -598 135 0 
x 671 -571 -88 0 
x -725 700 552 0 
x -792 -724 285 0 
x -875 -282 756 0 
x 415 -435 -172 0 
x 855 -521 760 0 
x -311 631 -602 0 
x 552 -185 230 0 
x 877 -870 954 0 
x -690 -785 531 0 
x 715 -424 -420 0 
x 63 253 927 0 
x -642 243 -386 0 
x 484 639 579 0 
x -199 -939 -770 0 
x 418 -195 318 0 
x 675 -75 -305 0 
x 337 891 -659 0 
x 153 -562 -26 0 
x 505 296 884 0 
x 931 -376 556 0 
x 678 649 -701 0 
x 601 -899 232 0 
x 161 -498 88 0 
x -18 7 832 0 
x 20 568 -858 0 
x -656 -970 -783 0 
x 277 199 394 0 
x 412 17 642 0 
x 847 869 -179 0 
x 852 748 699 0 
x -130 491 -795 0 
x 372 -751 -473 0 
x 33 -553 14 0 
x -472 -437 -326 0 
x -158 692 926 0 
x 434 -298 692 0 
x -773 680 -851 0 
x 580 741 85 0 
x -111 515 -127 0 
x -497 -951 848 0 
x -316 -879 -925 0 
x -39 -66 -657 0 
x 100 -378 -774 0 
x 883 191 -241 0 
x -653 753 945 0 
x -974 -984 620 0 
x 230 854 -103 0 
x 842 -268 195 0 
x 866 -576 -217 0 
x 193 -856 -555 0 
x 494 770 824 0 
x -102 255 38 0 
x -769 -906 142 0 
x 119 77 -219 0 
x 956 853 -891 0 
x -808 -95 -925 0 
x 708 -505 -987 0 
x -477 -228 491 0 
x 377 -182 -656 0 
x 832 281 546 0 
x -15 213 -987 0 
x 835 430 539 0 
x -213 -491 486 0 
x -56 -842 -313 0 
x -219 473 611 0 
x 351 12 -512 0 
x 399 208 -659 0 
x 473 939 -948 0 
x 900 488 -796 0 
x 480 813 -756 0 
x 978 385 297 0 
x -67 -66 -23 0 
x -667 -212 563 0 
x 771 -632 352 0 
x 621 87 -636 0 
x -338 -278 15 0 
x 115 -68 -385 0 
x 567 933 -152 0 
x -684 825 34 0 
x -321 -976 -387 0 
x 961 884 -377 0 
x -681 221 451 0 
x -380 -196 600 0 
x 16 -297 -173 0 
x -862 457 347 0 
x -990 -958 482 0 
x -482 849 -948 0 
x 112 102 182 0 
x -728 585 296 0 
x 440 -751 -291 0 
x 340 241 197 0 
x 454 432 933 0 
x -988 626 -927 0 
x -910 245 -602 0 
x -59 -100 364 0 
x -192 -59 796 0 
x -344 119 650 0 
x -613 -762 -710 0 
x -776 144 -900 0 
x -866 -637 -513 0 
x -365 760 529 0 
x 439 -946 251 0 
x -479 -342 837 0 
x -42 -28 -689 0 
x -505 -996 82 0 
x -71 -647 169 0 
x -139 -333 -358 0 
x 509 -596 575 0 
x 661 -82 -637 0 
x 458 114 459 0 
x 596 -932 64 0 
x -387 -111 -525 0 
x -309 -980 754 0 
x -756 -423 849 0 
x -709 419 -206 0 
x 57 -810 689 0 
x -221 8 352 0 
x -276 545 624 0 
x -570 -251 -423 0 
x 75 689 280 0 
x -910 -300 -850 0 
x -779 404 -305 0 
x -544 -572 304 0 
x 692 -35 -888 0 
x 255 -29 838 0 
x -245 -408 -89 0 
x 916 136 -924 0 
