p cnf 1000 400
x 878 819 -573 0 
x 259 -820 -700 0 
x 984 978 -813 0 
x 980 -54 23 0 
x -728 105 738 0 
x 473 -745 -239 0 
x -855 -115 953 0 
x -502 -218 -858 0 
x 790 -498 -617 0 
x 267 -277 332 0 
x 732 -854 597 0 
x 322 -437 -76 0 
x -665 -557 -542 0 
x -206 169 29 0 
x -905 925 -524 0 
x -993 599 247 0 
x 912 956 767 0 
x 69 372 183 0 
x -427 854 -617 0 
x -560 -44 24 0 
x -687 47 64 0 
x 938 -137 -899 0 
x -719 476 314 0 
x -838 716 840 0 
x 981 -109 801 0 
x -68 -103 -796 0 
x -81 548 112 0 
x -349 76 441 0 
x 907 345 806 0 
x 278 -548 632 0 
x -997 -612 -242 0 
x -829 879 -864 0 
x -785 517 135 0 
x 258 254 -815 0 
x -169 -67 149 0 
x 894 -517 685 0 
x 963 -612 115 0 
x 491 293 708 0 
x -714 237 -735 0 
x 30 -783 -873 0 
x 483 885 10 0 
x -575 970 -967 0 
x -910 -561 -128 0 
x -251 999 -389 0 
x 940 342 -312 0 
x 236 -27 -811 0 
x -516 378 387 0 
x -346 424 -311 0 
x -149 -158 700 0 
x 753 -420 224 0 
x -434 715 803 0 
x 475 -495 -169 0 
x -663 325 -397 0 
x 892 15 -355 0 
x -462 184 -369 0 
x 123 -962 -781 0 
x -982 482 -895 0 
x 217 -534 -820 0 
x 944 -323 71 0 
x -956 463 645 0 
x -844 901 -953 0 
x 408 -71 -235 0 
x -577 -282 256 0 
x -539 -962 -585 0 
x 449 238 -74 0 
x -764 -453 -529 0 
x -785 536 940 0 
x 750 -63 -67 0 
x -126 256 885 0 
x -370 842 624 0 
x -74 390 -239 0 
x -141 -782 -811 0 
x -153 -70 768 0 
x 69 379 242 0 
x 713 86 -767 0 
x -314 604 110 0 
x -464 477 -718 0 
x 900 -654 -663 0 
x 495 -254 565 0 
x -44 364 337 0 
x -235 22 -734 0 
x -660 486 366 0 
x -719 -625 -818 0 
x 873 868 11 0 
x 195 909 62 0 
x -766 768 -756 0 
x -493 -485 -946 0 
x -755 938 10 0 
x -329 785 212 0 
x -102 -298 139 0 
x -628 -41 34 0 
x 242 -37 393 0 
x 101 285 -270 0 
x -338 968 -7 0 
x 329 -898 -904 0 
x 465 -90 -12 0 
x 848 414 -589 0 
x 149 305 -963 0 
x 674 288 759 0 
x 888 317 -725 0 
x 257 -180 -281 0 
x 968 -532 967 0 
x -893 -69 618 0 
x -782 -532 -416 0 
x -286 -439 -122 0 
x -575 659 717 0 
x -678 -10 838 0 
x 990 759 -64 0 
x -721 -11 773 0 
x 594 917 738 0 
x -159 -17 -258 0 
x 694 -408 351 0 
x 642 979 999 0 
x -548 -956 974 0 
x 643 731 -227 0 
x 76 -219 646 0 
x 749 286 410 0 
x -675 827 882 0 
x 570 -979 386 0 
x 499 325 -373 0 
x -537 -768 -276 0 
x -913 656 313 0 
x 375 -597 640 0 
x 973 -2 -945 0 
x 634 -498 -904 0 
x 841 480 541 0 
x -234 -122 553 0 
x 213 -738 -998 0 
x -941 -485 121 0 
x -953 -613 274 0 
x -250 -891 822 0 
x 204 190 862 0 
x -809 703 563 0 
x 736 -116 496 0 
x -304 870 778 0 
x 599 623 -894 0 
x 362 223 154 0 
x -688 800 387 0 
x -735 89 -22 0 
x -547 -523 210 0 
x 698 888 186 0 
x -969 -370 227 0 
x 946 -263 -370 0 
x -659 759 -629 0 
x -659 441 -391 0 
x 353 -466 -351 0 
x -440 569 197 0 
x -777 617 468 0 
x 399 675 -291 0 
x -298 362 -386 0 
x 756 -782 -225 0 
x -99 -463 -203 0 
x 761 -500 840 0 
x -105 320 -938 0 
x 45 672 939 0 
x 477 -911 -289 0 
x 922 591 979 0 
x 846 172 458 0 
x 398 336 636 0 
x 342 657 -666 0 
x -616 24 96 0 
x -404 -896 986 0 
x -399 -203 -730 0 
x -27 618 844 0 
x -744 -768 -785 0 
x 130 -347 -675 0 
x -400 320 132 0 
x -93 -853 94 0 
x -878 -32 770 0 
x -246 58 240 0 
x 247 -882 576 0 
x -282 546 138 0 
x 907 -328 104 0 
x -226 466 289 0 
x 495 411 811 0 
x 696 -350 -807 0 
x 459 395 -623 0 
x 719 326 614 0 
x -245 733 134 0 
x -133 782 -394 0 
x 479 -323 597 0 
x 923 -129 397 0 
x 740 -195 -855 0 
x -361 110 323 0 
x -634 858 559 0 
x 748 -896 -775 0 
x -736 -649 -925 0 
x 346 27 636 0 
x 414 -715 -375 0 
x 37 395 281 0 
x 580 -121 479 0 
x -191 -494 -373 0 
x -132 417 -401 0 
x 587 -147 -500 0 
x 926 969 529 0 
x -164 -649 447 0 
x -670 382 770 0 
x -927 -752 923 0 
x 463 -898 628 0 
x -749 -611 549 0 
x -486 387 177 0 
x -826 -876 -182 0 
